symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
ADA-USD,2.0,2.5,False,False,28,6,22,0.21428571428571427,0.6836123492701188,-703.5428147344937,-0.07035428147344937,-0.14406474359237476,0.1320065895827369,22,-98.4661933582049,6,-605.076621376287,
ADA-USD,2.0,3.0,False,False,29,6,23,0.20689655172413793,0.7781370448191299,-523.8304205707591,-0.05238304205707591,-0.0904548715029889,0.12351770697282605,23,88.8900598956619,6,-612.7204804664225,
ADA-USD,2.0,3.5,False,False,26,4,22,0.15384615384615385,0.6387332622015911,-801.1046049936631,-0.0801104604993663,-0.1507233913951724,0.14491547433016783,19,-105.50637367151084,7,-695.5982313221529,
ADA-USD,2.5,2.0,False,False,27,6,21,0.2222222222222222,0.5777065181105306,-881.1490497846571,-0.0881149049784657,-0.21299804373048006,0.13203061456631757,20,-194.7011050590209,7,-686.4479447256414,
ADA-USD,2.5,2.5,False,False,28,6,22,0.21428571428571427,0.6843560027675973,-703.5428147344901,-0.070354281473449,-0.14406474359237403,0.14068652368690923,21,-3.6140641339867727,7,-699.9287506005043,
ADA-USD,2.5,3.0,False,False,21,3,18,0.14285714285714285,0.5060657183258456,-881.0428099193032,-0.08810428099193032,-0.2129980437304816,0.14045082570640996,14,-187.65454854391217,7,-693.3882613753894,
ADA-USD,2.5,3.5,False,False,22,3,19,0.13636363636363635,0.5566351678169096,-840.1207898933408,-0.08401207898933408,-0.1807277759709301,0.14491547433016788,15,-145.59425551443582,7,-694.5265343789047,
ADA-USD,2.0,2.0,False,False,182,59,123,0.3241758241758242,0.9437500029995567,-690.4659192081726,-0.06904659192081726,-0.045143446677589405,0.15003989016921626,84,-354.82941384513765,98,-335.6365053630276,
ADA-USD,2.5,2.5,True,False,27,6,21,0.2222222222222222,0.7151267822196552,-609.6392068025198,-0.06096392068025198,-0.1245337168251467,0.132006589582737,21,0.48898137965694843,6,-610.1281881821731,
ADA-USD,2.5,2.0,True,False,26,6,20,0.23076923076923078,0.605169365068786,-789.0394442269298,-0.07890394442269298,-0.1914676943170849,0.12326324703668474,20,-190.67726554216384,6,-598.3621786847676,
