analyzer,symbol,signals,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,ic,buy_trades,buy_wins,buy_wr,sell_trades,sell_wins,sell_wr,error
volume,ADA-USD,81,81,22,59,0.2716049382716049,0.7457627118644068,-15.0,-0.18518518518518517,0.12567532195060185,53,17,0.32075471698113206,28,5,0.17857142857142858,
volume,ETH-USD,76,76,23,53,0.3026315789473684,0.8679245283018868,-7.0,-0.09210526315789473,-0.12780955764725252,41,15,0.36585365853658536,35,8,0.22857142857142856,
volume,BTC-USD,71,71,25,46,0.352112676056338,1.046921534225381,2.158390574367523,0.030399867244613,0.06546351057126237,40,13,0.325,31,12,0.3870967741935484,
trend,DOT-USD,94,94,37,57,0.39361702127659576,1.288917320025878,16.46828724147505,0.175194545122075,-0.21161522781654865,32,11,0.34375,62,26,0.41935483870967744,
volume,AVAX-USD,80,80,33,47,0.4125,1.4042553191489362,19.0,0.2375,-0.11959471957191022,48,21,0.4375,32,12,0.375,
trend,BTC-USD,93,93,32,61,0.34408602150537637,1.047758437515548,2.8793316355411784,0.030960555220872887,-0.1265037968416442,43,13,0.3023255813953488,50,19,0.38,
volume,DOT-USD,84,84,24,60,0.2857142857142857,0.8054479786819355,-11.594165322196165,-0.13802577764519244,0.11352797611232429,53,13,0.24528301886792453,31,11,0.3548387096774194,
trend,ETH-USD,94,94,31,63,0.32978723404255317,0.9540584692122391,-2.8943164396289385,-0.030790600421584453,0.12260129983869487,41,13,0.3170731707317073,53,18,0.33962264150943394,
trend,AVAX-USD,94,94,30,64,0.3191489361702128,0.9375,-4.0,-0.0425531914893617,0.10425783209858384,37,10,0.2702702702702703,57,20,0.3508771929824561,
trend,ATOM-USD,92,92,30,62,0.32608695652173914,0.967741935483871,-2.0,-0.021739130434782608,0.13512507237420693,38,10,0.2631578947368421,54,20,0.37037037037037035,
trend,ADA-USD,92,92,34,58,0.3695652173913043,1.1563299340206667,9.06713617319868,0.09855582796955087,0.12465479502381029,36,12,0.3333333333333333,56,22,0.39285714285714285,
volume,ATOM-USD,79,79,38,41,0.4810126582278481,1.815432010765933,33.432712441403254,0.42319889166333235,-0.02829342238861025,47,20,0.425531914893617,32,18,0.5625,
volatility,BTC-USD,54,54,19,35,0.35185185185185186,0.9659631347913463,-1.1912902823028806,-0.022060931153757048,-0.018454312901576383,33,13,0.3939393939393939,21,6,0.2857142857142857,
volatility,ETH-USD,45,45,21,24,0.4666666666666667,1.75,18.0,0.4,0.02830541518519042,33,18,0.5454545454545454,12,3,0.25,
volatility,AVAX-USD,39,39,11,28,0.28205128205128205,0.7596466508941414,-6.527536259923171,-0.16737272461341465,-0.07852136180953097,25,8,0.32,14,3,0.21428571428571427,
volatility,ADA-USD,37,37,13,24,0.35135135135135137,1.0833333333333333,2.0,0.05405405405405406,-0.17829428620451548,17,5,0.29411764705882354,20,8,0.4,
volatility,DOT-USD,37,37,17,20,0.4594594594594595,1.6062069091212874,12.124138182425748,0.32767941033583103,-0.0041183645095940954,15,7,0.4666666666666667,22,10,0.45454545454545453,
volatility,ATOM-USD,35,35,17,18,0.4857142857142857,1.8888888888888888,16.0,0.45714285714285713,0.2056998549638111,13,6,0.46153846153846156,22,11,0.5,
