position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,sr_strength,sr_distance,sr_touches
8c9255de,BTC-USD,SELL,CHOP,0.6681264270124481,118822.4765625,118703.6540859375,stop_loss,37.47964305081277,SELL,0.82,SELL,0.5,Gartley,SELL,0.62,0.52,,2
b4f96390,BTC-USD,SELL,CHOP,0.668269749276743,118135.6484375,119073.0021517749,stop_loss,-39.82146350324573,BUY,0.85,SELL,0.54,Gartley,SELL,0.8,0.73,,8
3e7134b2,BTC-USD,SELL,CHOP,0.6660057128475515,118774.8828125,118656.1079296875,stop_loss,21.962383888957522,SELL,0.82,SELL,0.51,Gartley,SELL,0.58,0.41,,5
792695ee,BTC-USD,SELL,CHOP,0.8047785241021388,117416.234375,118584.26551715888,stop_loss,-49.836502222222684,SELL,0.85,SELL,0.5,Gartley,SELL,0.95,1.0,,11
34dd7ec9,BTC-USD,SELL,CHOP,0.7309193997036442,117737.984375,117620.246390625,stop_loss,27.771493654576254,BUY,0.82,SELL,0.52,Gartley,SELL,1.0,1.0,,11
b135625d,BTC-USD,SELL,CHOP,0.7227592493216426,118433.9375,114563.56472344503,take_profit,92.56954416440355,BUY,0.82,SELL,0.53,Gartley,SELL,0.95,0.94,,11
215042b1,BTC-USD,SELL,CHOP,0.6552766514622699,115362.625,113562.23437692845,stop_loss,62.79425335340297,BUY,0.85,SELL,0.65,Gartley,SELL,0.58,0.79,,10
3640cce6,BTC-USD,SELL,CHOP,0.7116699619428715,114123.0859375,115243.50600236078,stop_loss,-49.838884332120244,SELL,0.57,SELL,0.62,Gartley,SELL,0.61,0.44,,5
c3a52944,BTC-USD,SELL,CHOP,0.6575635754075845,117215.6484375,117098.4327890625,stop_loss,28.445766306021646,BUY,0.85,SELL,0.5,Gartley,SELL,0.84,0.82,,10
556f11fc,BTC-USD,SELL,CHOP,0.6581932732596307,116799.75,117524.89788374281,stop_loss,-31.45064440605134,SELL,0.66,SELL,0.51,Gartley,SELL,0.62,0.51,,7
6e868131,BTC-USD,SELL,CHOP,0.7512437378979884,118427.9921875,119647.3059536961,stop_loss,-51.99430041402219,SELL,0.68,SELL,0.44,Gartley,SELL,0.97,0.96,,13
43fff160,BTC-USD,SELL,CHOP,0.686163773221359,118234.71875,116543.3125,timeout,64.87858336951521,SELL,0.82,SELL,0.33,Gartley,SELL,0.94,0.92,,13
463eaad5,BTC-USD,BUY,CHOP,0.6891597355306481,114839.1640625,113737.20072319312,stop_loss,-48.52051616190513,SELL,0.82,BUY,0.76,Gartley,BUY,0.48,0.41,,6
4dbcb46b,BTC-USD,BUY,CHOP,0.6553330824060462,108716.578125,107962.77537005402,stop_loss,-34.89165242756523,BUY,0.68,BUY,0.52,Gartley,BUY,0.58,0.43,,8
ebe43537,BTC-USD,BUY,CHOP,0.6540719391291645,108739.5,108848.23949999998,stop_loss,31.686236104706587,BUY,0.66,BUY,0.52,Gartley,BUY,0.59,0.51,,9
0104f172,BTC-USD,SELL,CHOP,0.7238214860676462,110488.421875,111271.06096855759,stop_loss,-35.63411838805077,SELL,0.85,SELL,0.6,Butterfly,SELL,0.58,0.43,,9
86bcf4a5,BTC-USD,SELL,CHOP,0.7130658944224894,112607.8984375,112495.2905390625,stop_loss,21.501583176539256,BUY,0.85,SELL,0.79,Gartley,SELL,0.49,0.44,,7
6835d030,BTC-USD,SELL,CHOP,0.7402601356335295,112989.015625,111400.65571007977,stop_loss,62.0048273713889,BUY,0.85,SELL,0.8,Gartley,SELL,0.54,0.44,,7
95edb013,BTC-USD,SELL,CHOP,0.7551824591555882,113270.46875,114304.71537923398,stop_loss,-46.151963353729016,BUY,0.82,SELL,0.8,Gartley,SELL,0.58,0.44,,7
bd2e84c4,BTC-USD,SELL,CHOP,0.7394263716612154,115950.2890625,115834.3387734375,stop_loss,15.995593867631973,BUY,0.57,SELL,0.8,Gartley,SELL,0.54,0.55,,9
d13b5794,BTC-USD,SELL,CHOP,0.7970161854531437,116003.96875,115887.96478125,stop_loss,16.890274541142475,SELL,0.46,SELL,0.8,Gartley,SELL,0.55,0.55,,9
226760e2,BTC-USD,SELL,CHOP,0.8004912249032521,116072.3046875,115956.2323828125,stop_loss,20.65874665803001,SELL,0.46,SELL,0.8,Gartley,SELL,0.56,0.55,,9
56fcacf9,BTC-USD,SELL,CHOP,0.66,115396.5703125,116282.93217849945,stop_loss,-38.8524494453569,BUY,0.82,SELL,1.0,Gartley,BUY,0.59,0.52,,8
50eadce5,BTC-USD,SELL,CHOP,0.7701030678313714,116555.5,116438.9445,stop_loss,25.38583705733223,BUY,0.85,SELL,0.8,Gartley,SELL,0.62,0.55,,9
187c7376,BTC-USD,SELL,CHOP,0.8922403877011039,116773.1875,114319.125,timeout,81.03694061865654,SELL,0.66,SELL,0.8,Gartley,SELL,0.73,0.73,,13
bd2abc4f,BTC-USD,BUY,CHOP,0.6912301289478724,109671.0234375,111026.34674315967,take_profit,35.65907088894453,BUY,0.34,BUY,0.64,Gartley,BUY,0.58,0.5,,12
0d0cb5d3,BTC-USD,SELL,CHOP,0.6754230675607371,113722.0234375,114809.91768569015,stop_loss,-48.88228014913341,SELL,0.66,SELL,0.52,Gartley,SELL,0.64,0.55,,11
1321e638,BTC-USD,BUY,CHOP,0.7263710210495252,109067.3828125,111474.84375,timeout,70.37076607784486,BUY,0.82,BUY,0.61,Gartley,BUY,0.57,0.55,,13
84b11cc8,BTC-USD,BUY,CHOP,0.7157554755315151,111718.9140625,113508.76807502942,take_profit,46.48792200012558,BUY,0.57,BUY,0.46,Gartley,BUY,0.88,0.85,,21
b5c936d8,BTC-USD,SELL,CHOP,0.6638730729932767,114469.5859375,115450.53671212301,stop_loss,-44.08040705056489,SELL,0.46,SELL,0.44,Gartley,SELL,0.81,0.8,,20
8f24d6fa,BTC-USD,SELL,CHOP,0.6577801400035729,112863.7890625,109614.36209428831,stop_loss,107.0088121248526,SELL,0.68,SELL,0.48,Gartley,SELL,0.66,0.63,,12
d6340ae3,BTC-USD,BUY,CHOP,0.7194826011267956,110795.875,108890.41949629462,stop_loss,-72.45443167494668,BUY,0.82,BUY,0.51,Gartley,BUY,0.72,0.64,,15
47ffe744,BTC-USD,SELL,CHOP,0.8187565000987571,110190.203125,107171.27355798021,take_profit,79.78547426240483,BUY,0.46,SELL,0.84,Gartley,SELL,0.68,0.62,,15
8895c589,BTC-USD,BUY,CHOP,0.6752239997292057,87833.6640625,87459.1160354259,stop_loss,-22.0846703492253,BUY,0.85,BUY,0.46,Gartley,BUY,0.7,0.57,,24
87851e5e,BTC-USD,BUY,CHOP,0.6855800683789898,87881.125,87969.00612499999,stop_loss,29.243054475370275,BUY,0.82,BUY,0.45,Gartley,BUY,0.74,0.64,,28
