position_id,symbol,direction,entry_price,entry_time,regime,confluence_score,signals_count,indicators_conf,indicators_dir,harmonic_conf,harmonic_dir,sr_conf,sr_dir,signal_conflict,exit_price,exit_time,exit_reason,pnl,pnl_pct
ebb7c158,BTC-USD,BUY,68302.8984375,2026-02-21T16:00:00+00:00,CHOP,0.662992423002787,2,0.62,BUY,,,0.99,BUY,False,67857.3446833041,2026-02-22T00:00:00+00:00,stop_loss,-65.23204203458596,-0.006523204203458596
800674ee,BTC-USD,BUY,66941.3515625,2026-03-01T06:00:00+00:00,CHOP,0.7598956563057209,3,0.62,BUY,0.46,BUY,0.86,BUY,False,65992.6739197603,2026-03-01T17:00:00+00:00,stop_loss,-99.34767957965357,-0.014171773060989996
fb472890,BTC-USD,BUY,68455.4296875,2026-03-03T19:00:00+00:00,CHOP,0.6507690833000422,2,0.62,BUY,,,0.97,BUY,False,71651.27055815788,2026-03-04T09:00:00+00:00,take_profit,167.2021447325579,0.026454826178725785
a2e2e8e2,BTC-USD,BUY,68341.328125,2026-03-06T14:00:00+00:00,CHOP,0.7054035030112218,3,0.62,SELL,0.53,BUY,0.99,BUY,True,67480.78102316424,2026-03-07T19:00:00+00:00,stop_loss,-100.02622423118306,-0.012591899008192766
8cfaf58d,BTC-USD,BUY,68344.578125,2026-03-09T18:00:00+00:00,CHOP,0.6524775763530662,2,0.62,BUY,,,0.97,BUY,False,68412.92270312499,2026-03-09T23:00:00+00:00,stop_loss,53.43527572072139,0.006811736425951229
b5488ae1,BTC-USD,BUY,68399.7578125,2026-04-01T05:00:00+00:00,CHOP,0.6571031274808943,2,0.62,BUY,,,0.98,BUY,False,68468.1575703125,2026-04-01T08:00:00+00:00,stop_loss,54.425531639682646,0.005858035167422951
a6af3202,BTC-USD,SELL,66555.1875,2026-04-03T05:00:00+00:00,CHOP,0.7094768324416034,3,0.31,SELL,0.54,SELL,0.85,SELL,False,67055.31283355509,2026-04-03T07:00:00+00:00,stop_loss,-75.22303425692253,-0.00751444556526997
69ae63bf,BTC-USD,BUY,68325.484375,2026-04-05T22:00:00+00:00,CHOP,0.6655696281267485,2,0.62,BUY,,,0.99,BUY,False,69510.73128623646,2026-04-06T09:00:00+00:00,take_profit,97.66340883020806,0.009830005926940468
8b51abd4,BTC-USD,SELL,68141.9921875,2026-04-07T15:00:00+00:00,CHOP,0.6506655678304563,2,0.62,SELL,,,0.97,SELL,False,68723.93181433821,2026-04-07T17:00:00+00:00,stop_loss,-85.68197627441785,-0.00854010292562246
bdae3197,BTC-USD,BUY,77889.9921875,2026-05-21T00:00:00+00:00,CHOP,0.6754444403265054,3,0.62,BUY,0.45,BUY,0.7,BUY,False,77342.83458130578,2026-05-21T10:00:00+00:00,stop_loss,-69.87668654463313,-0.007024748505264675
b42f8cbc,BTC-USD,BUY,63950.9296875,2026-07-18T07:00:00+00:00,CHOP,0.6619191062229393,2,0.62,BUY,,,0.99,BUY,False,64473.839119407734,2026-07-19T09:00:00+00:00,stop_loss,72.59353248568931,0.0073495031969881925
a88c0767,BTC-USD,SELL,63889.83984375,2026-07-24T16:00:00+00:00,CHOP,0.6678599037325894,2,0.62,SELL,,,1.0,SELL,False,64406.8389353722,2026-07-26T00:00:00+00:00,stop_loss,-80.51524229494035,-0.008092039248910037
be72944c,BTC-USD,BUY,64309.421875,2026-07-26T07:00:00+00:00,CHOP,0.6643321450870344,3,0.62,BUY,0.46,SELL,0.99,BUY,False,64373.73129687499,2026-07-26T13:00:00+00:00,stop_loss,20.04120291312352,0.0020306369562140777
d00add28,BTC-USD,BUY,64299.078125,2026-08-04T20:00:00+00:00,CHOP,0.6655862368655258,2,0.62,BUY,,,0.99,BUY,False,63821.39375163014,2026-08-05T13:00:00+00:00,stop_loss,-73.46978815708243,-0.007429101431924495
f8d30bcc,BTC-USD,SELL,64267.30078125,2026-08-06T23:00:00+00:00,CHOP,0.6829232104217946,2,,,0.45,SELL,1.0,SELL,False,64588.798234595146,2026-08-07T08:00:00+00:00,stop_loss,-49.10452503342274,-0.005002504375272329
9b9247b9,BTC-USD,BUY,77572.9375,2026-09-03T09:00:00+00:00,CHOP,0.6674599951731823,3,0.62,BUY,0.44,BUY,0.7,BUY,False,79486.91526334251,2026-09-03T14:00:00+00:00,take_profit,136.55586015929833,0.0139815177068346
