position_id,symbol,direction,entry_price,entry_time,regime,confluence_score,signals_count,indicators_conf,indicators_dir,harmonic_conf,harmonic_dir,sr_conf,sr_dir,signal_conflict,exit_price,exit_time,exit_reason,pnl,pnl_pct
189d341b,ETH-USD,BUY,1998.769775390625,2026-02-17T19:00:00+00:00,CHOP,0.6584609586388549,2,0.62,BUY,,,0.98,BUY,False,2000.7685451660154,2026-02-18T10:00:00+00:00,stop_loss,52.96132965085132,0.008942153676747566
38289a7b,ETH-USD,SELL,1993.5186767578125,2026-03-29T17:00:00+00:00,CHOP,0.6623536648056755,2,0.62,SELL,,,0.99,SELL,False,1951.237332954254,2026-03-29T22:00:00+00:00,take_profit,120.82314930603539,0.01201866249596244
f55b03c7,ETH-USD,BUY,2088.462890625,2026-03-31T16:00:00+00:00,CHOP,0.6532109196751527,2,0.62,BUY,,,0.97,BUY,False,2117.724898216,2026-04-02T01:00:00+00:00,stop_loss,128.69186428029775,0.021491187086831422
5aec7932,ETH-USD,SELL,2037.7689208984375,2026-04-05T14:00:00+00:00,CHOP,0.6526384881818491,2,0.62,SELL,,,0.97,SELL,False,2049.267287057743,2026-04-05T15:00:00+00:00,stop_loss,-58.13301210320519,-0.005642625148211598
1fbce0f3,ETH-USD,SELL,2321.8701171875,2026-05-07T02:00:00+00:00,CHOP,0.7583806546322434,3,0.62,SELL,0.45,SELL,0.86,SELL,False,2345.648090739211,2026-05-07T07:00:00+00:00,stop_loss,-102.44343331133992,-0.010240871518047489
dabc39bc,ETH-USD,SELL,2333.919921875,2026-05-07T08:00:00+00:00,CHOP,0.7167285474920034,3,0.31,SELL,0.44,SELL,0.93,SELL,False,2268.925928163269,2026-05-08T03:00:00+00:00,take_profit,160.04210661645314,0.01578028852866242
fdeb558b,ETH-USD,BUY,2312.27001953125,2026-05-09T10:00:00+00:00,CHOP,0.6521893609213503,2,0.62,BUY,,,0.97,BUY,False,2355.6374451975603,2026-05-10T17:00:00+00:00,take_profit,109.48934604639116,0.01062802974421836
6eed223a,ETH-USD,SELL,2303.0400390625,2026-05-12T06:00:00+00:00,CHOP,0.6538468851748495,2,0.62,SELL,,,0.97,SELL,False,2281.9402064784863,2026-05-12T18:00:00+00:00,stop_loss,113.27216712474356,0.010879596023985858
3cf17e20,ETH-USD,SELL,1867.3199462890625,2026-08-14T13:00:00+00:00,CHOP,0.6665408482711088,2,0.62,SELL,,,1.0,SELL,False,1878.2526977108291,2026-08-14T15:00:00+00:00,stop_loss,-61.619845905085946,-0.005854782113527655
86d8e4ad,ETH-USD,BUY,1880.0799560546875,2026-08-16T20:00:00+00:00,CHOP,0.6577666958487721,2,0.62,BUY,,,0.98,BUY,False,1874.645750926057,2026-08-16T21:00:00+00:00,stop_loss,-30.24261961144838,-0.00289041171420928
b1258832,ETH-USD,SELL,1874.0799560546875,2026-08-16T22:00:00+00:00,CHOP,0.6545265525913758,2,0.62,SELL,,,0.97,SELL,False,1880.991012213211,2026-08-17T01:00:00+00:00,stop_loss,-38.47325199281127,-0.003687706138788567
