symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_r,avg_r
BTC-USD,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.1,0.9,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.2,0.8,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.3,0.7,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.4,0.6,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.5,0.5,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.6,0.4,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.7,0.3,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.8,0.2,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,0.9,0.1,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.0,0.9,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.1,0.8,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.2,0.7,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.3,0.6,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.4,0.5,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.5,0.4,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.6,0.3,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.7,0.2,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.8,0.1,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.1,0.9,0.0,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.1,0.7,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.5,0.3,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.7,0.1,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.2,0.8,0.0,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.0,0.7,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.1,0.6,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.2,0.5,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.3,0.4,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.4,0.3,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.5,0.2,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.6,0.1,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.3,0.7,0.0,0,0,0,0.0,0.0,0.0,0.0
BTC-USD,0.0,0.4,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0
