symbol,fold,timeframe,start_date,end_date,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,1,2h,2025-08-26 04:00:00+00:00,2026-01-04 10:00:00+00:00,35,9,26,0.2571428571428571,0.8787730849237019,-320.35957795242393,-0.0320359577952424,-0.12089235141233465,0.08062323497745656,
ETH-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,18,5,13,0.2777777777777778,0.8280414680277334,-222.196446327991,-0.0222196446327991,-0.13500985693700257,0.039403989999999924,
BTC-USD,3,2h,2026-05-10 00:00:00+00:00,2026-09-12 18:00:00+00:00,23,10,13,0.43478260869565216,1.7948162761056634,1119.7536284466896,0.11197536284466897,0.5071732591069249,0.05051287962277744,
ADA-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,19,5,14,0.2631578947368421,0.7375343158080668,-363.09038744138525,-0.03630903874413852,-0.22926697639867422,0.0633098315499601,
BTC-USD,2,2h,2026-01-04 12:00:00+00:00,2026-05-09 22:00:00+00:00,35,12,23,0.34285714285714286,1.4892241880160975,1177.7007861545026,0.11777007861545026,0.4365633667857422,0.0495729647392421,
ETH-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,17,4,13,0.23529411764705882,0.6054190269178766,-488.57988898545045,-0.04885798889854504,-0.3579429461767006,0.08588719256850513,
ADA-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,30,8,22,0.26666666666666666,0.7421100700816108,-559.2712611141633,-0.05592712611141633,-0.28649766398201765,0.07895329376723544,
ETH-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,27,10,17,0.37037037037037035,1.3634702443755278,651.998553370875,0.0651998553370875,0.3173740030345053,0.03940399000000004,
ADA-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,19,11,8,0.5789473684210527,2.699319515695202,1375.1505450076238,0.13751505450076237,0.7364115515328711,0.02613285733607489,
DOT-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,23,8,15,0.34782608695652173,1.3666541917852473,542.085397443092,0.0542085397443092,0.28640333513798477,0.04849054091919335,
BTC-USD,0,2h,2025-04-23 04:00:00+00:00,2025-08-26 02:00:00+00:00,24,7,17,0.2916666666666667,1.1347943379405683,220.221510503834,0.0220221510503834,0.12340285775555203,0.05227428701113291,
ADA-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,16,8,8,0.5,2.1001589394959663,923.0451774347639,0.0923045177434764,0.542300924869669,0.03850371220395617,
DOT-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,20,7,13,0.35,1.2557412657803764,313.9237279410954,0.031392372794109544,0.19574312972528873,0.050139507494016536,
DOT-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,21,9,12,0.42857142857142855,1.85929670338338,1069.732434080859,0.10697324340808591,0.5212266928172373,0.03940399000000025,
ETH-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,11,8,3,0.7272727272727273,4.4403661073736735,1103.1007405452765,0.11031007405452765,0.7776110585387235,0.019900000000000063,
ATOM-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,26,13,13,0.5,2.0212744395367648,1315.1545996321584,0.13151545996321584,0.6726139514039045,0.032700254126858494,
DOT-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,25,8,17,0.32,1.0572104544815384,94.15158017057183,0.009415158017057184,0.06494697388915877,0.08227828938481507,
ATOM-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,24,9,15,0.375,1.0539600360079158,81.99659505121053,0.008199659505121054,0.0627772126454585,0.03969024761098005,
ATOM-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,18,9,9,0.5,1.6373477469565803,590.9528492026366,0.059095284920263655,0.3989099179762082,0.03940398999999999,
ATOM-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,27,11,16,0.4074074074074074,1.285712410311872,476.4346026619278,0.04764346026619278,0.2683338409373548,0.05026823311529733,
