symbol,fold,timeframe,start_date,end_date,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
DOT-USD,2,1h,2026-03-29 06:00:00+00:00,2026-06-21 02:00:00+00:00,14,1,13,0.07142857142857142,0.17318390193542946,-1075.6380875535397,-0.10756380875535397,-0.8835218587262351,0.10756380875535397,0,
ADA-USD,0,1h,2025-10-07 03:00:00+00:00,2026-01-04 21:00:00+00:00,51,16,35,0.3137254901960784,1.0229406531427443,80.01915352663491,0.00800191535266349,0.045029902782140994,0.09713428314813057,0,
ADA-USD,3,1h,2026-06-21 03:00:00+00:00,2026-09-13 07:00:00+00:00,33,13,20,0.3939393939393939,0.9998305117739024,-0.35955521908181254,-3.5955521908181254e-05,0.01405719476252159,0.07714132437652664,0,
ADA-USD,1,1h,2026-01-04 22:00:00+00:00,2026-03-29 05:00:00+00:00,48,12,36,0.25,0.7050821360435479,-1084.0422871806186,-0.10840422871806187,-0.38564694055856535,0.13950967977332757,0,
ADA-USD,2,1h,2026-03-29 06:00:00+00:00,2026-06-21 02:00:00+00:00,32,10,22,0.3125,0.8407893921312373,-349.77688228775696,-0.0349776882287757,-0.13765054483857445,0.11491227938972352,0,
DOT-USD,0,1h,2025-10-07 03:00:00+00:00,2026-01-04 21:00:00+00:00,51,17,34,0.3333333333333333,1.046404187432976,160.21190058612228,0.016021190058612227,0.0697994999415892,0.08919895062274245,0,
DOT-USD,1,1h,2026-01-04 22:00:00+00:00,2026-03-29 05:00:00+00:00,52,18,34,0.34615384615384615,1.1710311991909343,627.730185161683,0.0627730185161683,0.20296723356870294,0.08327187289283855,0,
BTC-USD,0,2h,2024-11-08 00:00:00+00:00,2025-04-23 14:00:00+00:00,41,17,24,0.4146341463414634,1.6063360275751553,1607.361767090857,0.16073617670908572,0.4694458557501619,0.1018201580930424,3,
BTC-USD,1,2h,2025-04-23 16:00:00+00:00,2025-10-07 06:00:00+00:00,37,13,24,0.35135135135135137,1.2682462240007648,721.8289908310435,0.07218289908310435,0.24062368495755754,0.08069845178882924,21,
BTC-USD,3,2h,2026-03-29 08:00:00+00:00,2026-09-13 06:00:00+00:00,31,12,19,0.3870967741935484,1.2583841460946825,578.3171817291495,0.05783171817291495,0.21694958598322234,0.06556756786690954,80,
ETH-USD,1,1h,2026-01-04 22:00:00+00:00,2026-03-29 05:00:00+00:00,27,10,17,0.37037037037037035,1.0953791818962715,190.037505361488,0.0190037505361488,0.09647357482510874,0.10948160858506485,123,
BTC-USD,2,2h,2025-10-07 08:00:00+00:00,2026-03-29 06:00:00+00:00,37,13,24,0.35135135135135137,1.4518601679430172,1199.8450078601036,0.11998450078601036,0.3641236656056762,0.07838195063614152,244,
ETH-USD,3,1h,2026-06-21 03:00:00+00:00,2026-09-13 07:00:00+00:00,15,7,8,0.4666666666666667,1.3962352127947026,373.2483180182917,0.03732483180182917,0.21918658110789047,0.06459595133779036,171,
ETH-USD,2,1h,2026-03-29 06:00:00+00:00,2026-06-21 02:00:00+00:00,16,5,11,0.3125,0.8290068525364993,-203.57369153772743,-0.02035736915377274,-0.10908122204463004,0.05921181957616094,36,
ETH-USD,0,1h,2025-10-07 03:00:00+00:00,2026-01-04 21:00:00+00:00,18,4,14,0.2222222222222222,0.5441247172790679,-662.075872290723,-0.0662075872290723,-0.39810519005918865,0.09692013390115226,184,
DOT-USD,3,1h,2026-06-21 03:00:00+00:00,2026-09-13 07:00:00+00:00,42,14,28,0.3333333333333333,1.0467342171437328,139.22298974266778,0.013922298974266778,0.06537331718447113,0.07350379760137957,0,
ATOM-USD,0,1h,2025-10-07 03:00:00+00:00,2026-01-04 21:00:00+00:00,23,11,12,0.4782608695652174,1.9730620310217142,1203.3509595255819,0.12033509595255819,0.46649274790265555,0.03459564453866369,52,
ATOM-USD,1,1h,2026-01-04 22:00:00+00:00,2026-03-29 05:00:00+00:00,18,10,8,0.5555555555555556,2.020503697880776,901.1497662929032,0.09011497662929033,0.4338956193376249,0.023982418182000784,70,
ATOM-USD,2,1h,2026-03-29 06:00:00+00:00,2026-06-21 02:00:00+00:00,16,7,9,0.4375,1.0171990878293173,14.567784839369779,0.0014567784839369779,0.01905571516612555,0.03956622701392953,51,
ATOM-USD,3,1h,2026-06-21 03:00:00+00:00,2026-09-13 07:00:00+00:00,21,8,13,0.38095238095238093,1.5566563865527314,766.0972802439519,0.0766097280243952,0.3092882610778077,0.041834154157658225,121,
