symbol,fold,timeframe,start_date,end_date,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
ADA-USD,1,1h,2024-12-16 18:00:00+00:00,2025-03-10 02:00:00+00:00,49,18,31,0.3673469387755102,1.07086678537324,236.34994236267994,0.023634994236267994,0.0972057188926573,0.0862311552123815,0,
ADA-USD,0,1h,2024-09-24 10:00:00+00:00,2024-12-16 17:00:00+00:00,44,20,24,0.45454545454545453,1.6559435854310525,1742.062419355987,0.1742062419355987,0.5300230343051786,0.11582909856144201,0,
ADA-USD,2,1h,2025-03-10 03:00:00+00:00,2025-06-01 10:00:00+00:00,42,14,28,0.3333333333333333,0.9478672530202572,-153.50223626246225,-0.015350223626246225,-0.03837147816463477,0.09382126648289853,0,
BTC-USD,0,2h,2024-10-04 20:00:00+00:00,2025-03-20 10:00:00+00:00,45,16,29,0.35555555555555557,1.219722521681959,702.6714095833231,0.07026714095833231,0.22416701931260144,0.1018201580930422,0,
ETH-USD,0,1h,2024-09-24 10:00:00+00:00,2024-12-16 17:00:00+00:00,39,14,25,0.358974358974359,1.1753914430174084,490.4872851676628,0.049048728516766275,0.18531515357763773,0.0639866695716469,0,
ADA-USD,3,1h,2025-06-01 11:00:00+00:00,2025-08-23 18:00:00+00:00,51,21,30,0.4117647058823529,1.5162928702220209,1690.2327564940133,0.16902327564940134,0.4869750315211174,0.052374813228424875,0,
ETH-USD,1,1h,2024-12-16 18:00:00+00:00,2025-03-10 02:00:00+00:00,35,13,22,0.37142857142857144,1.1565673047931453,388.376184716637,0.0388376184716637,0.15913900077112192,0.09082633387797916,0,
BTC-USD,1,2h,2025-03-20 12:00:00+00:00,2025-09-03 02:00:00+00:00,38,15,23,0.39473684210526316,1.4876598760930413,1328.5375356190907,0.13285375356190907,0.40350968066373827,0.08069845178882915,24,
BTC-USD,2,2h,2025-09-03 04:00:00+00:00,2026-02-23 02:00:00+00:00,40,15,25,0.375,1.5721100878277054,1608.5555426697065,0.16085555426697065,0.45044543088665556,0.07838195063614187,153,
ETH-USD,6,1h,2026-02-12 22:00:00+00:00,2026-05-07 17:00:00+00:00,10,0,10,0.0,0.0,-1038.818281580894,-0.10388182815808941,-1.125132923537565,0.10388182815808941,149,
ETH-USD,5,1h,2025-11-15 03:00:00+00:00,2026-02-12 21:00:00+00:00,25,12,13,0.48,1.786305397075002,1168.004012745796,0.1168004012745796,0.47578104692719614,0.033015499392349254,82,
ETH-USD,3,1h,2025-06-01 11:00:00+00:00,2025-08-23 18:00:00+00:00,31,12,19,0.3870967741935484,1.457202049641066,933.0279363582049,0.09330279363582049,0.34980631822773156,0.05331947988079597,74,
ADA-USD,4,1h,2025-08-23 19:00:00+00:00,2025-11-15 02:00:00+00:00,45,15,30,0.3333333333333333,1.041210979225596,133.43920784479997,0.013343920784479997,0.0630830065243623,0.0971342831481306,0,
ETH-USD,2,1h,2025-03-10 03:00:00+00:00,2025-06-01 10:00:00+00:00,24,11,13,0.4583333333333333,1.9529799537713473,1240.0688817958435,0.12400688817958434,0.5067034426209677,0.05090027288930229,108,
BTC-USD,3,2h,2026-02-23 04:00:00+00:00,2026-08-10 02:00:00+00:00,31,12,19,0.3870967741935484,1.326630456792466,719.3941902401766,0.07193941902401767,0.26304735348838953,0.05426068212602768,161,
ADA-USD,6,1h,2026-02-12 22:00:00+00:00,2026-05-07 17:00:00+00:00,26,5,21,0.19230769230769232,0.5337689892795128,-1018.0166525639524,-0.10180166525639524,-0.508625183676012,0.12309722256502431,0,
ADA-USD,5,1h,2025-11-15 03:00:00+00:00,2026-02-12 21:00:00+00:00,43,15,28,0.3488372093023256,1.1331341941366289,372.7911572540288,0.03727911572540288,0.1477707322025867,0.08413476099687531,0,
ETH-USD,4,1h,2025-08-23 19:00:00+00:00,2025-11-15 02:00:00+00:00,22,8,14,0.36363636363636365,1.168401259436632,271.422314344014,0.0271422314344014,0.13678766560080385,0.07499264484050466,250,
ADA-USD,7,1h,2026-05-07 18:00:00+00:00,2026-07-30 23:00:00+00:00,36,14,22,0.3888888888888889,1.088174211782566,206.6466907851427,0.02066466907851427,0.09809453555534176,0.07714132437652688,0,
ETH-USD,7,1h,2026-05-07 18:00:00+00:00,2026-07-30 23:00:00+00:00,9,5,4,0.5555555555555556,1.9358227384154485,414.9816301262308,0.04149816301262308,0.30767610104663484,0.016646171326764308,162,
DOT-USD,0,1h,2024-09-24 10:00:00+00:00,2024-12-16 17:00:00+00:00,52,26,26,0.5,2.1791168917688544,3675.8810306161813,0.36758810306161815,0.8733517293988073,0.041519157612926676,0,
DOT-USD,3,1h,2025-06-01 11:00:00+00:00,2025-08-23 18:00:00+00:00,58,23,35,0.39655172413793105,1.3566036963839494,1396.2714314111672,0.1396271431411167,0.39393565308954237,0.0690584463853027,0,
DOT-USD,1,1h,2024-12-16 18:00:00+00:00,2025-03-10 02:00:00+00:00,56,15,41,0.26785714285714285,0.7592051683646539,-1060.3516199577534,-0.10603516199577534,-0.33586948209491496,0.15807629639282433,0,
DOT-USD,5,1h,2025-11-15 03:00:00+00:00,2026-02-12 21:00:00+00:00,52,23,29,0.4423076923076923,1.654666542960576,2237.660160908412,0.22376601609084118,0.5974652566642966,0.06057626580105417,0,
DOT-USD,2,1h,2025-03-10 03:00:00+00:00,2025-06-01 10:00:00+00:00,35,13,22,0.37142857142857144,1.1910489490397311,445.9416881420748,0.044594168814207476,0.18037499074373786,0.0729446464305989,0,
DOT-USD,4,1h,2025-08-23 19:00:00+00:00,2025-11-15 02:00:00+00:00,48,13,35,0.2708333333333333,0.7671854357551561,-856.247297730215,-0.0856247297730215,-0.2896375572797894,0.12612283785613243,0,
