symbol,max_confidence,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,expectancy,avg_win,avg_loss,ic_indicators,error
ADA-USD,0.4,25,16,9,0.64,1.824437798995686,655.3007547427039,0.0655300754742704,26.212030189708162,90.63414699988535,88.31617747282905,0.10185592489099017,
ADA-USD,0.45,25,16,9,0.64,1.824437798995686,655.3007547427039,0.0655300754742704,26.212030189708162,90.63414699988535,88.31617747282905,0.10185592489099018,
ADA-USD,0.5,32,18,14,0.5625,1.512534640644792,627.1525210564481,0.06271525210564481,19.598516283014,102.82122501701875,87.40210923213496,0.05058123551182523,
ADA-USD,0.55,17,7,10,0.4117647058823529,0.679662653508213,-308.66912872684685,-0.030866912872684685,-18.157007572167466,93.55801286367411,96.35752187725656,0.029319638419053197,
ADA-USD,0.6,17,7,10,0.4117647058823529,0.6796626535082129,-308.6691287268469,-0.03086691287268469,-18.157007572167473,93.5580128636741,96.35752187725656,-0.20768086478501294,
ADA-USD,0.65,19,8,11,0.42105263157894735,0.6768700416126996,-339.3817607440315,-0.03393817607440315,-17.862197933896397,88.86414759555768,95.4813583189539,-0.1607742346233202,
ADA-USD,0.7,19,8,11,0.42105263157894735,0.6768700416126996,-339.3817607440315,-0.03393817607440315,-17.862197933896397,88.86414759555768,95.4813583189539,-0.13108222824795354,
ADA-USD,0.8,16,7,9,0.4375,0.6446254128337224,-310.40307436031844,-0.031040307436031846,-19.400192147519903,80.43573384270573,97.05035680658428,-0.2252841428570244,
ADA-USD,0.9,19,8,11,0.42105263157894735,0.6827277516303137,-341.780896084618,-0.034178089608461804,-17.98846821497991,91.93338841211586,97.93163667104955,-0.07220143857323463,
ATOM-USD,0.4,5,5,0,1.0,0.0,722.2677071197432,0.07222677071197432,144.45354142394865,144.45354142394865,0.0,0.0,
ATOM-USD,0.45,8,6,2,0.75,4.065380222535391,643.1364450990015,0.06431364450990015,80.3920556373752,142.15714389337404,104.90320913062135,0.0,
ATOM-USD,0.5,8,6,2,0.75,4.065380222535398,643.136445099002,0.0643136445099002,80.39205563737526,142.15714389337407,104.90320913062118,0.0,
ATOM-USD,0.55,5,5,0,1.0,0.0,680.91649751407,0.068091649751407,136.183299502814,136.183299502814,0.0,0.0,
ATOM-USD,0.6,6,6,0,1.0,0.0,737.7226443888163,0.07377226443888163,122.95377406480272,122.95377406480272,0.0,0.0,
ATOM-USD,0.65,8,7,1,0.875,6.783229079969405,604.5211056389014,0.06045211056389014,75.56513820486268,101.29301928837569,104.53002937972838,0.0,
ATOM-USD,0.7,8,7,1,0.875,6.783229079969404,604.5211056389015,0.06045211056389015,75.5651382048627,101.29301928837572,104.53002937972843,-0.39402122208613033,
ATOM-USD,0.8,11,9,2,0.8181818181818182,3.950992564378387,608.7027723837239,0.060870277238372385,55.33661567124764,90.55258810337867,103.13526027334203,-0.24542607752478338,
ATOM-USD,0.9,116,62,54,0.5344827586206896,1.1265911670455107,643.9905293164775,0.06439905293164774,5.551642494107561,92.43804018894095,94.2068141184789,0.07343778497317764,
AVAX-USD,0.4,40,24,16,0.6,1.4617688895435328,702.6522124444612,0.07026522124444612,17.566305311111527,92.67940157030078,95.10333907767235,-0.0987542589984304,
AVAX-USD,0.45,32,20,12,0.625,1.6143995260732675,704.5123218551345,0.07045123218551344,22.01601005797295,92.55901984371606,95.55567291826556,-0.1636393349987165,
AVAX-USD,0.5,35,21,14,0.6,1.4743587143273162,632.2161867694493,0.06322161867694494,18.063319621984263,93.57128508439173,95.19862857162694,-0.3082288539865303,
AVAX-USD,0.55,14,6,8,0.42857142857142855,0.6201205887957756,-303.1753668925802,-0.03031753668925802,-21.655383349470007,82.48463480811013,99.76039696765511,-0.39746632985293073,
AVAX-USD,0.6,14,6,8,0.42857142857142855,0.6195273259132799,-302.2116243537263,-0.030221162435372626,-21.58654459669473,82.01568393191982,99.28821599315565,0.03365129025183675,
AVAX-USD,0.65,14,6,8,0.42857142857142855,0.6195273259132799,-302.2116243537263,-0.030221162435372626,-21.58654459669473,82.01568393191982,99.28821599315565,0.12546607840301285,
AVAX-USD,0.7,14,6,8,0.42857142857142855,0.6195273259132799,-302.2116243537263,-0.030221162435372626,-21.58654459669473,82.01568393191982,99.28821599315565,0.18761974566573775,
AVAX-USD,0.8,14,6,8,0.42857142857142855,0.6195273259132793,-302.21162435372696,-0.030221162435372696,-21.58654459669478,82.01568393191981,99.28821599315573,0.28808666020838847,
AVAX-USD,0.9,13,5,8,0.38461538461538464,0.5556838721633754,-352.6917771541765,-0.035269177715417654,-27.130136704167427,88.21877943682432,99.22320929228727,0.422865241534571,
