analyzer,segment,signals,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,ic,buy_trades,buy_wr,buy_r,sell_trades,sell_wr,sell_r,error
elliott_wave,full,84,84,28,56,0.3333333333333333,0.9767115519606842,-1.2481242921062599,-0.014858622525074522,-0.04325830218870544,44,0.3409090909090909,-0.13545972927542316,40,0.325,-1.112664562830838,
elliott_wave,fold6,20,20,9,11,0.45,1.7394476962441332,8.133924658685467,0.40669623293427337,-0.22394306047536922,10,0.6,11.0,10,0.3,-2.866075341314532,
elliott_wave,full,170,170,61,109,0.3588235294117647,1.165157322921657,17.52668407939411,0.10309814164349476,-0.07407974075701489,93,0.3763440860215054,15.214364879908203,77,0.33766233766233766,2.3123191994859056,
elliott_wave,full,170,170,62,108,0.36470588235294116,1.2943101939796946,31.508874830063135,0.18534632252978314,0.062222584694271776,83,0.3253012048192771,9.834518005100874,87,0.40229885057471265,21.674356824962267,
elliott_wave,fold6,20,20,6,14,0.3,0.9608058764505297,-0.5487177296925827,-0.027435886484629135,-0.3614121367527275,7,0.2857142857142857,0.0,13,0.3076923076923077,-0.5487177296925827,
volume,fold6,16,16,6,10,0.375,1.2172382149794045,2.172382149794047,0.13577388436212795,0.2021655879140031,9,0.4444444444444444,3.954986717712754,7,0.2857142857142857,-1.7826045679187073,
trend,fold6,19,19,3,16,0.15789473684210525,0.3431369754402934,-10.509808392955305,-0.5531478101555424,-0.22673457744618952,9,0.2222222222222222,-4.009808392955305,10,0.1,-6.5,
trend,fold6,18,18,3,15,0.16666666666666666,0.3645137086432327,-9.53229437035151,-0.5295719094639728,-0.2725241460843961,6,0.16666666666666666,-2.5,12,0.16666666666666666,-7.03229437035151,
volume,full,71,71,22,49,0.30985915492957744,0.7328160736588021,-12.876952229951009,-0.18136552436550715,0.2741380142842874,39,0.358974358974359,-1.9279394478637764,32,0.25,-10.949012782087232,
volume,fold6,16,16,3,13,0.1875,0.39367895156658506,-7.882173629634394,-0.49263585185214964,0.1398796338806848,11,0.18181818181818182,-6.382173629634394,5,0.2,-1.5,
volatility,fold6,9,9,4,5,0.4444444444444444,2.0,5.0,0.5555555555555556,-0.06721202413188661,7,0.42857142857142855,3.5,2,0.5,1.5,
volatility,fold6,7,7,0,7,0.0,0.0,-7.0,-1.0,0.0,5,0.0,-5.0,2,0.0,-2.0,
trend,full,78,78,32,46,0.41025641025641024,1.5720612419022835,25.111158245166276,0.32193792622008044,0.018543865498525377,43,0.46511627906976744,19.814506988804904,35,0.34285714285714286,5.296651256361372,
elliott_wave,full,170,170,66,103,0.38823529411764707,1.4547254180660778,45.45602474837608,0.2673883808728005,0.0696536561949886,86,0.3023255813953488,5.711781453249273,84,0.47619047619047616,39.74424329512681,
elliott_wave,fold6,20,20,7,12,0.35,1.320940153393422,3.7840568163549397,0.189202840817747,-0.10979549469923001,12,0.25,-0.29053719624880525,8,0.5,4.074594012603745,
volume,full,145,145,55,90,0.3793103448275862,1.2079235468017886,18.587429757223592,0.12818917073947306,-0.17812045140710134,81,0.48148148148148145,38.24809738968872,64,0.25,-19.660667632465127,
volume,full,148,148,49,99,0.3310810810810811,1.0653084888979205,6.3073695988058756,0.04261736215409375,0.08150601476565403,101,0.33663366336633666,11.261065193349008,47,0.3191489361702128,-4.953695594543133,
trend,fold6,18,18,5,13,0.2777777777777778,0.8425941180583872,-2.0462764652409664,-0.11368202584672035,0.10252713766194221,7,0.14285714285714285,-3.5,11,0.36363636363636365,1.4537235347590336,
volume,fold6,18,18,8,10,0.4444444444444444,1.397708563599038,3.9770856359903846,0.2209492019994658,-0.1582811123786408,12,0.3333333333333333,-2.754638871714895,6,0.6666666666666666,6.7317245077052785,
volatility,fold6,6,6,3,3,0.5,2.5,4.5,0.75,0.04797469717442647,4,0.5,3.0,2,0.5,1.5,
trend,full,158,158,57,101,0.36075949367088606,1.1208496144996978,11.989828409041465,0.07588498993064219,0.14884363576810664,73,0.410958904109589,13.354816688676044,85,0.3176470588235294,-1.3649882796345754,
volume,full,153,153,48,105,0.3137254901960784,0.9584597259245947,-4.249037632219796,-0.027771487792286248,-0.054895487325838696,88,0.29545454545454547,-9.448774336352773,65,0.3384615384615385,5.199736704132976,
volatility,full,45,45,14,31,0.3111111111111111,1.0424569947856632,1.2814599893091767,0.02847688865131504,0.29801966333093904,23,0.30434782608695654,0.027996855048125102,22,0.3181818181818182,1.253463134261052,
mean_reversion,fold6,7,7,2,5,0.2857142857142857,0.6819630356911045,-1.5901848215444776,-0.22716926022063966,0.2314448190961219,1,0.0,-1.0,6,0.3333333333333333,-0.5901848215444776,
elliott_wave,full,170,170,63,107,0.37058823529411766,1.284641051288175,29.9425426311389,0.17613260371258177,-0.06632809902004115,91,0.4065934065934066,27.94537370564501,79,0.3291139240506329,1.9971689254938862,
elliott_wave,fold6,20,20,8,12,0.4,1.4943564264941263,5.932277117929517,0.2966138558964758,-0.41267382928501967,11,0.5454545454545454,7.932277117929517,9,0.2222222222222222,-2.0,
trend,fold6,19,19,4,15,0.21052631578947367,0.6666666666666666,-5.0,-0.2631578947368421,0.2982160129245152,11,0.2727272727272727,-0.5,8,0.125,-4.5,
trend,full,161,161,61,100,0.37888198757763975,1.2308593571882787,22.918439350460865,0.14235055497180663,-0.10633275124540288,64,0.34375,7.604657740022374,97,0.4020618556701031,15.313781610438504,
trend,full,156,156,56,100,0.358974358974359,1.2742565672924988,27.30144054653288,0.17500923427264667,0.07452752756058334,64,0.3125,3.533099856231901,92,0.391304347826087,23.768340690300978,
volume,fold6,16,16,5,11,0.3125,1.1363636363636365,1.5,0.09375,6.621947604812697e-05,7,0.2857142857142857,0.0,9,0.3333333333333333,1.5,
volatility,fold6,6,6,2,4,0.3333333333333333,1.25,1.0,0.16666666666666666,0.5206612296514046,1,0.0,-1.0,5,0.4,2.0,
volume,full,148,148,47,101,0.31756756756756754,1.0106175959760475,1.07237719358079,0.007245791848518851,-0.01005982352805179,91,0.25274725274725274,-18.829952243538656,57,0.42105263157894735,19.902329437119445,
mean_reversion,fold6,4,4,1,3,0.25,0.8333333333333334,-0.5,-0.125,-0.38145481807024256,2,0.0,-2.0,2,0.5,1.5,
trend,full,159,159,53,105,0.3333333333333333,1.128592612044068,13.350628952168119,0.08396621982495672,-0.11062246634205486,72,0.3472222222222222,13.239768871924657,87,0.3218390804597701,0.11086008024346228,
mean_reversion,fold6,8,8,3,5,0.375,1.3215276631488329,1.6076383157441647,0.2009547894680206,0.03519157830810627,4,0.5,2.1076383157441647,4,0.25,-0.5,
volatility,full,81,81,33,48,0.4074074074074074,1.5065118564984346,23.58403658253058,0.2911609454633405,-0.1416310883485852,51,0.39215686274509803,14.261935610281427,30,0.43333333333333335,9.322100972249153,
mean_reversion,fold6,4,4,2,2,0.5,1.4612842168819866,0.9225684337639732,0.2306421084409933,0.5725173119080563,2,0.0,-2.0,2,1.0,2.9225684337639732,
volatility,full,69,69,22,47,0.3188405797101449,0.9963001785978198,-0.1706628656181275,-0.0024733748640308334,-0.08483614628360814,30,0.3,-3.213731384581907,39,0.3333333333333333,3.043068518963778,
volatility,full,63,63,29,34,0.4603174603174603,1.9071766075693897,30.844004657359246,0.48958737551363884,-0.03413736330216765,28,0.5357142857142857,23.395223586578293,35,0.4,7.448781070780955,
volatility,full,59,59,16,43,0.2711864406779661,0.7878946013405915,-9.120532142354566,-0.15458529054838246,0.11463677061951827,19,0.3157894736842105,-2.8173058508399578,40,0.25,-6.3032262915146084,
mean_reversion,full,22,22,10,12,0.45454545454545453,1.6757136026933905,8.108563232320689,0.3685710560145768,-0.11043961609877012,11,0.36363636363636365,2.0767241421833873,11,0.5454545454545454,6.031839090137302,
mean_reversion,full,41,41,16,25,0.3902439024390244,1.5207043370398408,11.91215663628753,0.2905404057631105,0.16248194059556453,16,0.375,2.917468277500438,25,0.4,8.994688358787089,
mean_reversion,full,42,42,12,30,0.2857142857142857,0.9917572868958529,-0.24041212733727324,-0.005724098269935077,-0.2342987328815437,20,0.2,-6.240412127337273,22,0.36363636363636365,6.0,
mean_reversion,full,41,41,10,31,0.24390243902439024,0.7160935139672177,-8.705284399840227,-0.21232400975220067,-0.05821883591663901,22,0.3181818181818182,-0.20528439984022695,19,0.15789473684210525,-8.5,
mean_reversion,full,33,33,12,21,0.36363636363636365,1.3133150205323236,6.579615431178793,0.19938228579329675,0.09203467325422304,13,0.23076923076923078,-2.5,20,0.45,9.079615431178793,
