symbol,mode,timeframe,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
ADA-USD,baseline,1h,166,64,102,0.3855421686746988,1.3800840088748016,5037.724154972817,0.5037724154972817,0.24932809365663536,0.11571428061182476,0,
ADA-USD,filtered,1h,150,59,91,0.3933333333333333,1.4465860479558852,5209.384218415578,0.5209384218415578,0.26519891272449436,0.09051086201990773,235,
ATOM-USD,baseline,1h,76,29,47,0.3815789473684211,1.120869504628022,601.0846156668722,0.06010846156668722,0.06596823000278842,0.113807906945022,0,
ATOM-USD,filtered,1h,76,29,47,0.3815789473684211,1.120869504628022,601.0846156668722,0.06010846156668722,0.06596823000278842,0.113807906945022,0,
BTC-USD,baseline,2h,159,55,104,0.34591194968553457,1.42888134144671,5235.5648614754555,0.5235564861475456,0.33808134843096205,0.09089439488884603,0,
BTC-USD,filtered,2h,132,47,85,0.3560606060606061,1.5460908824865527,5353.524516821819,0.5353524516821819,0.3663460723950766,0.08847504489507439,247,
DOT-USD,baseline,1h,126,51,75,0.40476190476190477,1.5204233838308236,5206.876073780431,0.5206876073780431,0.2782625581012023,0.13967260267468734,0,
DOT-USD,filtered,1h,120,49,71,0.4083333333333333,1.5355369343580565,5067.857265140194,0.5067857265140193,0.2782710426795096,0.13967260267468734,91,
ETH-USD,baseline,1h,231,80,151,0.3463203463203463,1.1432366072930138,2257.1923526574665,0.22571923526574664,0.12016195891589346,0.13488129419218928,0,
ETH-USD,filtered,1h,179,66,113,0.3687150837988827,1.2586142967616014,3145.0005297207063,0.3145000529720706,0.1717885344644249,0.13488129419218928,987,
