analyzer,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r
trend,1.0,2.0,559,220,339,0.3935599284436494,1.2979351032448379,101.0,0.1806797853309481
trend,1.0,1.5,559,265,294,0.4740608228980322,1.3520408163265305,103.5,0.1851520572450805
trend,1.5,1.5,559,250,309,0.4472271914132379,1.2135922330097086,66.0,0.11806797853309481
trend,2.0,2.0,559,195,364,0.3488372093023256,1.0619903396524986,22.520438610585966,0.040287010036826415
trend,1.0,3.0,559,178,381,0.3184257602862254,1.4015748031496063,153.0,0.2737030411449016
trend,1.5,2.5,559,176,383,0.3148479427549195,1.1384372740645599,53.02147596672637,0.09485058312473411
trend,2.0,3.0,559,147,412,0.2629695885509839,1.024614855781051,10.099496894720346,0.01806707852364999
trend,1.0,2.5,559,194,365,0.3470483005366726,1.3287671232876712,120.0,0.2146690518783542
trend,2.5,2.0,559,195,364,0.3488372093023256,1.0433244592532778,15.653025133405581,0.028001833870135207
trend,2.0,1.5,559,245,314,0.43828264758497315,1.1703821656050954,53.5,0.09570661896243292
trend,2.0,2.5,559,171,388,0.30590339892665475,1.0734141165971498,28.43251545986581,0.05086317613571702
trend,1.5,3.0,559,153,406,0.2737030411449016,1.1161695309419388,47.164829562427116,0.08437357703475334
trend,1.5,2.0,559,211,348,0.3774597495527728,1.2126436781609196,74.0,0.13237924865831843
trend,2.5,1.5,559,228,331,0.407871198568873,1.0207544196975673,6.840257255200132,0.012236596163148716
trend,2.5,2.5,559,169,390,0.3023255813953488,1.010890469878917,4.207062114204923,0.007526050293747627
trend,3.0,2.5,559,179,379,0.32021466905187834,1.0053709114843767,1.9932516005651646,0.003565745260402799
trend,3.0,1.5,559,230,329,0.41144901610017887,1.0354653234274145,11.514229101354907,0.020597905369150103
trend,2.5,3.0,559,154,405,0.27549194991055453,0.9917460725505978,-3.3046989333905668,-0.005911804889786345
trend,3.0,2.0,559,199,359,0.3559928443649374,1.0546514365379391,19.32853019140294,0.03457697708658845
trend,3.0,3.0,559,177,381,0.31663685152057247,1.0949323773872504,35.36764230558506,0.06326948534093928
volume,1.0,2.0,472,162,310,0.3432203389830508,1.0451612903225806,14.0,0.029661016949152543
volume,1.0,1.5,472,192,280,0.4067796610169492,1.0285714285714285,8.0,0.01694915254237288
volume,1.0,2.5,472,141,331,0.298728813559322,1.0649546827794563,21.5,0.045550847457627115
volume,1.5,1.5,472,198,274,0.4194915254237288,1.083941605839416,23.0,0.048728813559322036
volume,1.5,2.0,472,164,308,0.3474576271186441,1.060314772473607,18.576949921871005,0.0393579447497267
volume,1.0,3.0,472,128,344,0.2711864406779661,1.110073909543042,37.86542488280651,0.08022335780255616
volume,1.5,2.5,472,149,323,0.3156779661016949,1.1459411382513554,47.13898765518781,0.0998707365576013
volume,1.5,3.0,472,129,343,0.2733050847457627,1.1021507541698463,35.03770868025729,0.0742324336446129
volume,2.0,1.5,472,193,279,0.4088983050847458,1.029752726698914,8.301010748996958,0.017586887180078302
volume,2.0,2.0,472,169,303,0.3580508474576271,1.098851094069532,29.91176430115592,0.06337238199397441
volume,2.0,2.5,472,144,328,0.3050847457627119,1.023391093682683,7.642538857796579,0.016191819613975804
volume,2.5,2.0,472,173,299,0.3665254237288136,1.082735011889967,24.464211049848622,0.051830955614086065
volume,2.5,1.5,472,203,269,0.4300847457627119,1.1178660482674045,31.54287151939428,0.06682811762583533
volume,2.0,3.0,472,133,339,0.2817796610169492,1.0531439169733154,17.94821969275236,0.03802588917956008
volume,2.5,2.5,472,159,313,0.336864406779661,1.1215556686324744,37.64500900207655,0.07975637500439947
volume,2.5,3.0,472,148,324,0.3135593220338983,1.1283213805334686,41.15184166179968,0.08718610521567728
volume,3.0,1.5,472,198,274,0.4194915254237288,1.0458802568701464,12.394344186677175,0.026259203785333
volume,3.0,2.0,472,175,297,0.3707627118644068,1.0469603846707567,13.739583028670403,0.029109286077691532
volume,3.0,2.5,472,162,310,0.3432203389830508,1.0592387449813374,18.10206680413456,0.038351836449437626
volume,3.0,3.0,472,150,322,0.3177966101694915,1.012504828676784,3.9372317967711377,0.00834159278976936
volatility,1.0,1.5,247,112,135,0.4534412955465587,1.2444444444444445,33.0,0.13360323886639677
volatility,1.0,2.0,247,92,155,0.3724696356275304,1.1870967741935483,29.0,0.11740890688259109
volatility,1.0,2.5,247,78,169,0.3157894736842105,1.1538461538461537,26.0,0.10526315789473684
volatility,1.5,3.0,247,72,175,0.291497975708502,1.1820807559743793,31.720430091875727,0.12842279389423372
volatility,2.0,1.5,247,113,134,0.4574898785425101,1.2572904131425389,34.26029824783321,0.13870566092240166
volatility,1.5,1.5,247,109,138,0.44129554655870445,1.1859706445495024,25.517176757155696,0.10330840792370727
volatility,1.0,3.0,247,72,175,0.291497975708502,1.2342857142857142,41.0,0.1659919028340081
volatility,1.5,2.5,247,81,166,0.32793522267206476,1.1917846385314048,31.6848892714957,0.12827890393318098
volatility,1.5,2.0,247,94,153,0.3805668016194332,1.2168948316842303,33.01373099711095,0.1336588299478176
volatility,2.0,2.0,247,98,149,0.3967611336032389,1.2727175646376152,40.40531164019969,0.16358425765263032
volatility,2.5,1.5,247,105,142,0.4251012145748988,1.085170500090932,12.019811735109677,0.048663205405302334
volatility,2.0,2.5,247,84,163,0.340080971659919,1.188903324378472,30.63220099722136,0.12401700808591644
volatility,2.0,3.0,247,77,170,0.3117408906882591,1.2130087682733273,36.03215495256248,0.14587916984843108
volatility,2.5,2.0,247,89,158,0.3603238866396761,1.033271422235602,5.227821014137392,0.02116526726371414
volatility,2.5,2.5,247,79,168,0.31983805668016196,1.0282882795942936,4.72772021436254,0.019140567669483965
volatility,2.5,3.0,247,73,174,0.29554655870445345,1.0608329937996217,10.5318012683151,0.04263887153164008
volatility,3.0,2.0,247,88,159,0.3562753036437247,0.9838877818281305,-2.5081306143151525,-0.010154374956741508
volatility,3.0,1.5,247,103,144,0.41700404858299595,1.001958460096545,0.27708035712818546,0.0011217828223813178
volatility,3.0,2.5,247,80,167,0.32388663967611336,1.0087262371834416,1.4281916171104037,0.0057821522959935374
volatility,3.0,3.0,247,77,170,0.3117408906882591,1.0600844830660758,9.972591063039111,0.04037486260339721
support_resistance,1.0,1.5,381,139,242,0.3648293963254593,0.8615702479338843,-33.5,-0.08792650918635171
support_resistance,1.0,2.0,381,117,264,0.30708661417322836,0.8863636363636364,-30.0,-0.07874015748031496
support_resistance,1.0,2.5,381,108,273,0.28346456692913385,0.989010989010989,-3.0,-0.007874015748031496
support_resistance,1.0,3.0,381,96,285,0.25196850393700787,1.0105263157894737,3.0,0.007874015748031496
support_resistance,1.5,1.5,381,150,231,0.3937007874015748,0.974025974025974,-6.0,-0.015748031496062992
support_resistance,1.5,2.0,381,132,249,0.3464566929133858,1.0559790642433153,13.938786996585527,0.03658474277319036
support_resistance,1.5,2.5,381,111,270,0.29133858267716534,1.021995507394761,5.938786996585527,0.015587367445106371
support_resistance,1.5,3.0,381,100,281,0.26246719160104987,1.0458179053331753,12.874831398622305,0.03379220839533414
support_resistance,2.0,1.5,381,148,233,0.3884514435695538,0.9493737778860049,-11.795909752560853,-0.03096039305134082
support_resistance,2.0,2.0,381,126,255,0.33070866141732286,0.9831532950879965,-4.295909752560853,-0.01127535368126208
support_resistance,2.0,2.5,381,104,277,0.27296587926509186,0.9146888009436758,-23.582421745171892,-0.061896120066067956
support_resistance,2.0,3.0,381,97,284,0.2545931758530184,0.9725240865238503,-7.787448877098985,-0.0204394983650892
support_resistance,2.5,1.5,381,143,238,0.3753280839895013,0.9042233395117335,-22.620934585819782,-0.059372531721311766
support_resistance,2.5,2.0,381,120,261,0.31496062992125984,0.8990436330591487,-26.010323344484007,-0.06826856520861944
support_resistance,2.5,2.5,381,110,271,0.2887139107611549,0.959656473208431,-10.760032126435089,-0.028241554137624907
support_resistance,2.5,3.0,381,104,277,0.27296587926509186,1.0028892802082794,0.785748389838373,0.002062331731859247
support_resistance,3.0,1.5,381,149,232,0.3910761154855643,0.9577526387140264,-9.62532213247054,-0.025263312683649713
support_resistance,3.0,2.0,381,129,252,0.33858267716535434,0.9678843366071965,-7.920081679617841,-0.020787615957002206
support_resistance,3.0,2.5,381,120,261,0.31496062992125984,1.0040045475525303,1.0146733847105764,0.0026631847367731666
support_resistance,3.0,3.0,381,111,270,0.29133858267716534,0.9870914413138719,-3.372114004816071,-0.008850692926026433
harmonic,1.0,1.5,180,75,105,0.4166666666666667,1.0714285714285714,7.5,0.041666666666666664
harmonic,1.0,2.0,180,65,115,0.3611111111111111,1.1304347826086956,15.0,0.08333333333333333
harmonic,1.0,2.5,180,53,127,0.29444444444444445,1.0433070866141732,5.5,0.030555555555555555
harmonic,1.0,3.0,180,48,132,0.26666666666666666,1.0909090909090908,12.0,0.06666666666666667
harmonic,1.5,1.5,180,74,106,0.4111111111111111,1.0471698113207548,5.0,0.027777777777777776
harmonic,1.5,2.0,180,62,118,0.34444444444444444,1.0508474576271187,6.0,0.03333333333333333
harmonic,2.0,1.5,180,71,109,0.39444444444444443,0.9770642201834863,-2.5,-0.013888888888888888
harmonic,1.5,3.0,180,48,132,0.26666666666666666,1.0784337693245045,10.353257550834616,0.05751809750463676
harmonic,1.5,2.5,180,54,126,0.3,1.0623274408796397,7.853257550834616,0.043629208615747865
harmonic,2.0,2.0,180,61,119,0.3388888888888889,1.0044935018946533,0.5347267254637451,0.0029707040303541396
harmonic,2.0,3.0,180,46,134,0.25555555555555554,0.915467226393147,-11.327391663318288,-0.0629299536851016
harmonic,2.0,2.5,180,52,128,0.28888888888888886,0.9711300830155991,-3.6953493740033068,-0.020529718744462817
harmonic,2.5,1.5,180,71,109,0.39444444444444443,0.9772177290762477,-2.4668367584410973,-0.013704648658006096
harmonic,2.5,2.0,180,60,120,0.3333333333333333,0.9541640625297587,-5.467255219045888,-0.03037364010581049
harmonic,2.5,2.5,180,55,125,0.3055555555555556,0.9812383396948624,-2.331676465296222,-0.012953758140534566
harmonic,2.5,3.0,180,53,126,0.29444444444444445,1.0501048986247408,6.239890333487956,0.03466605740826642
harmonic,3.0,2.0,180,61,119,0.3388888888888889,0.9154291610832764,-9.999007003163822,-0.055550038906465676
harmonic,3.0,1.5,180,70,110,0.3888888888888889,0.9392937213062502,-6.631088029021976,-0.03683937793901098
harmonic,3.0,2.5,180,59,120,0.3277777777777778,1.0251361021223904,2.9772986624896642,0.01654054812494258
harmonic,3.0,3.0,180,57,122,0.31666666666666665,1.0355107222653133,4.277163884188473,0.02376202157882485
elliott_wave,1.0,1.5,594,247,347,0.4158249158249158,1.0677233429394812,23.5,0.03956228956228956
elliott_wave,1.0,2.0,594,222,372,0.37373737373737376,1.1935483870967742,72.0,0.12121212121212122
elliott_wave,1.0,2.5,594,194,400,0.3265993265993266,1.2125,85.0,0.14309764309764308
elliott_wave,1.0,3.0,594,171,423,0.2878787878787879,1.2127659574468086,90.0,0.15151515151515152
elliott_wave,1.5,1.5,594,263,331,0.44276094276094274,1.1886153732423104,62.43168854320477,0.105103852766338
elliott_wave,1.5,2.0,594,218,376,0.367003367003367,1.1554034269766085,58.43168854320477,0.09836984603233126
elliott_wave,1.5,2.5,594,195,399,0.3282828282828283,1.21662077329124,86.43168854320477,0.1455078931703784
