analyzer,symbol,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,error
trend,BTC-USD,1.0,2.0,93,34,59,0.3655913978494624,1.152542372881356,9.0,0.0967741935483871,
trend,BTC-USD,1.0,1.5,93,41,52,0.44086021505376344,1.1826923076923077,9.5,0.10215053763440861,
trend,BTC-USD,1.5,1.5,93,41,52,0.44086021505376344,1.1826923076923077,9.5,0.10215053763440861,
trend,BTC-USD,2.0,2.0,93,32,61,0.34408602150537637,1.047758437515548,2.8793316355411784,0.030960555220872887,
trend,BTC-USD,1.0,3.0,93,30,63,0.3225806451612903,1.4285714285714286,27.0,0.2903225806451613,
trend,BTC-USD,1.5,2.5,93,28,65,0.3010752688172043,1.0769230769230769,5.0,0.053763440860215055,
trend,BTC-USD,2.0,3.0,93,23,70,0.24731182795698925,0.9560329269131731,-3.0029896161698337,-0.03229021092655735,
trend,BTC-USD,1.0,2.5,93,32,61,0.34408602150537637,1.3114754098360655,19.0,0.20430107526881722,
trend,BTC-USD,2.5,2.0,93,30,63,0.3225806451612903,0.9470279520747972,-3.2965346915670573,-0.035446609586742554,
trend,BTC-USD,2.0,1.5,93,43,50,0.46236559139784944,1.29,14.5,0.15591397849462366,
trend,BTC-USD,2.0,2.5,93,28,65,0.3010752688172043,1.068118940259208,4.379331635541178,0.047089587478937406,
trend,BTC-USD,1.5,3.0,93,23,70,0.24731182795698925,0.9857142857142858,-1.0,-0.010752688172043012,
trend,BTC-USD,1.5,2.0,93,37,56,0.3978494623655914,1.3214285714285714,18.0,0.1935483870967742,
trend,BTC-USD,2.5,1.5,93,36,57,0.3870967741935484,0.9502675495522934,-2.796534691567057,-0.03007026550072104,
trend,BTC-USD,2.5,2.5,93,25,68,0.26881720430107525,0.8957983295441838,-6.902391692935867,-0.07421926551543942,
trend,BTC-USD,3.0,2.5,93,28,65,0.3010752688172043,0.9825819120525018,-1.0844633389677472,-0.011660896117932765,
trend,BTC-USD,3.0,1.5,93,35,58,0.3763440860215054,0.8973131949437801,-5.872965462479765,-0.06315016626322328,
trend,BTC-USD,2.5,3.0,93,23,70,0.24731182795698925,0.9359421709052888,-4.311918772728228,-0.046364717986325035,
trend,BTC-USD,3.0,2.0,93,30,63,0.3225806451612903,0.9210763202817898,-4.830175301173452,-0.05193736882982206,
trend,BTC-USD,3.0,3.0,93,28,65,0.3010752688172043,1.1097485595823746,6.8330283857991425,0.07347342350321659,
trend,ETH-USD,1.0,2.0,94,36,58,0.3829787234042553,1.2413793103448276,14.0,0.14893617021276595,
trend,ETH-USD,1.0,2.5,94,32,62,0.3404255319148936,1.2903225806451613,18.0,0.19148936170212766,
trend,ETH-USD,1.0,3.0,94,32,62,0.3404255319148936,1.5483870967741935,34.0,0.3617021276595745,
trend,ETH-USD,1.0,1.5,94,39,55,0.4148936170212766,1.0636363636363637,3.5,0.03723404255319149,
trend,ETH-USD,1.5,3.0,94,27,67,0.2872340425531915,1.166282259907882,11.140911413828082,0.11852033418966045,
trend,ETH-USD,1.5,1.5,94,41,53,0.43617021276595747,1.1603773584905661,8.5,0.09042553191489362,
trend,ETH-USD,1.5,2.0,94,37,57,0.39361702127659576,1.2982456140350878,17.0,0.18085106382978725,
trend,ETH-USD,2.0,2.0,94,31,63,0.32978723404255317,0.9540584692122391,-2.8943164396289385,-0.030790600421584453,
trend,ETH-USD,2.0,1.5,94,41,53,0.43617021276595747,1.1603773584905661,8.5,0.09042553191489362,
trend,ETH-USD,1.5,2.5,94,31,63,0.32978723404255317,1.192712879584573,12.140911413828082,0.12915863206200087,
trend,ETH-USD,2.0,2.5,94,29,65,0.30851063829787234,1.0603679171882803,3.9239146172382044,0.04174377252381069,
trend,ETH-USD,2.5,1.5,94,39,55,0.4148936170212766,0.9901384881318112,-0.5423831527503946,-0.005770033539897815,
trend,ETH-USD,2.0,3.0,94,25,69,0.26595744680851063,1.02063644372809,1.4239146172382044,0.015148027842959622,
trend,ETH-USD,2.5,2.0,94,35,59,0.3723404255319149,1.0764779947922598,4.512201692743319,0.048002145667482114,
trend,ETH-USD,2.5,2.5,94,29,65,0.30851063829787234,0.9848031029652821,-0.9877983072566809,-0.010508492630390222,
trend,ETH-USD,3.0,2.5,94,30,64,0.3191489361702128,0.9762302424023684,-1.491010395433466,-0.015861812717377296,
trend,ETH-USD,3.0,1.5,94,39,55,0.4148936170212766,1.0121753033879255,0.6541449892036484,0.0069589892468473235,
trend,ETH-USD,2.5,3.0,94,27,67,0.2872340425531915,0.9624392594878368,-2.5165696143149328,-0.026772017173563114,
trend,ETH-USD,3.0,2.0,94,34,60,0.3617021276595745,1.0431310464483017,2.532965693781744,0.026946443550869618,
trend,ETH-USD,3.0,3.0,94,30,64,0.3191489361702128,1.0601505729020466,3.7730771599104305,0.040139118722451385,
trend,ADA-USD,1.0,1.5,92,45,47,0.4891304347826087,1.4361702127659575,20.5,0.22282608695652173,
trend,ADA-USD,1.5,1.5,92,44,48,0.4782608695652174,1.375,18.0,0.1956521739130435,
trend,ADA-USD,1.0,2.5,92,34,58,0.3695652173913043,1.4655172413793103,27.0,0.29347826086956524,
trend,ADA-USD,1.0,3.0,92,33,59,0.358695652173913,1.6779661016949152,40.0,0.43478260869565216,
trend,ADA-USD,1.0,2.0,92,41,51,0.44565217391304346,1.607843137254902,31.0,0.33695652173913043,
trend,ADA-USD,1.5,2.0,92,38,54,0.41304347826086957,1.4074074074074074,22.0,0.2391304347826087,
trend,ADA-USD,1.5,2.5,92,31,61,0.33695652173913043,1.2528335775562554,15.42284823093157,0.16763965468403882,
trend,ADA-USD,2.0,1.5,92,44,48,0.4782608695652174,1.375,18.0,0.1956521739130435,
trend,ADA-USD,1.5,3.0,92,26,66,0.2826086956521739,1.1579219428929026,10.422848230931573,0.11329182859708231,
trend,ADA-USD,2.0,2.0,92,34,58,0.3695652173913043,1.1563299340206667,9.06713617319868,0.09855582796955087,
trend,ADA-USD,2.0,2.5,92,29,63,0.31521739130434784,1.1280497805269631,8.06713617319868,0.08768626275215956,
trend,ADA-USD,2.5,1.5,92,44,48,0.4782608695652174,1.3802505456312928,18.004545306337548,0.19570157941671248,
trend,ADA-USD,2.5,2.0,92,36,56,0.391304347826087,1.2881166926981085,15.848048861172854,0.17226140066492232,
trend,ADA-USD,2.0,3.0,92,26,66,0.2826086956521739,1.1308834563127241,8.6383081166398,0.09389465344173696,
trend,ADA-USD,2.5,2.5,92,33,59,0.358695652173913,1.3514884700736496,20.38832071621261,0.22161218169796318,
trend,ADA-USD,2.5,3.0,92,29,63,0.31521739130434784,1.247112670213096,15.322384230048424,0.16654765467443938,
trend,ADA-USD,3.0,1.5,92,42,50,0.45652173913043476,1.25240771422761,12.327100584111097,0.133990223740338,
trend,ADA-USD,3.0,2.0,92,38,54,0.41304347826086957,1.3666779626189594,19.37454854640518,0.210592918982665,
trend,ADA-USD,3.0,3.0,92,34,58,0.3695652173913043,1.371543333038739,21.11779856438272,0.22954128874329044,
trend,ADA-USD,3.0,2.5,92,34,58,0.3695652173913043,1.2819135949065064,16.023419021155895,0.17416759805604234,
trend,AVAX-USD,1.0,1.5,94,40,54,0.425531914893617,1.1111111111111112,6.0,0.06382978723404255,
trend,AVAX-USD,1.0,2.0,94,29,65,0.30851063829787234,0.8923076923076924,-7.0,-0.07446808510638298,
trend,AVAX-USD,1.0,2.5,94,26,68,0.2765957446808511,0.9558823529411765,-3.0,-0.031914893617021274,
trend,AVAX-USD,1.0,3.0,94,23,71,0.24468085106382978,0.971830985915493,-2.0,-0.02127659574468085,
trend,AVAX-USD,1.5,1.5,94,35,59,0.3723404255319149,0.8898305084745762,-6.5,-0.06914893617021277,
trend,AVAX-USD,1.5,2.0,94,30,64,0.3191489361702128,0.9375,-4.0,-0.0425531914893617,
trend,AVAX-USD,2.0,1.5,94,35,59,0.3723404255319149,0.8898305084745762,-6.5,-0.06914893617021277,
trend,AVAX-USD,1.5,3.0,94,25,69,0.26595744680851063,1.0869565217391304,6.0,0.06382978723404255,
trend,AVAX-USD,1.5,2.5,94,26,68,0.2765957446808511,0.9558823529411765,-3.0,-0.031914893617021274,
trend,AVAX-USD,2.0,2.0,94,30,64,0.3191489361702128,0.9375,-4.0,-0.0425531914893617,
trend,AVAX-USD,2.0,3.0,94,20,74,0.2127659574468085,0.8068737539887642,-14.291342204831455,-0.1520355553705474,
