symbol,timeframe,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,expectancy,avg_win,avg_loss,diag_signals,diag_gate_passed,diag_guard_blocked,error
BTC-USD,1h,2.0,3.0,60,18,42,0.3,0.9853464938208479,-57.444432187316124,-0.005744443218731613,0.0007925568643480965,0.09005254134800042,-0.9574072031219458,214.5966112640948,93.33770083192914,2868,60,8158,
BTC-USD,1h,2.0,2.5,65,22,43,0.3384615384615385,1.082674271001427,343.03335738553506,0.03430333573855351,0.05596491455939562,0.0966712914038084,5.2774362674698025,204.19312476536433,96.49338110354601,3023,65,8045,
BTC-USD,1h,5.0,2.0,95,40,55,0.42105263157894735,1.1268680515664034,618.6418804891109,0.06186418804891109,0.09156575360126205,0.08643105669681013,6.512019794622184,137.3726012729171,88.6593121895923,6011,96,6125,
BTC-USD,1h,5.0,2.5,92,37,55,0.40217391304347827,1.0579598629608662,289.88522141970316,0.028988522141970317,0.04695727427175539,0.08256026558368101,3.1509263197794084,143.00992961220962,90.93603953149183,6224,93,6006,
BTC-USD,1h,5.0,1.5,101,46,55,0.45544554455445546,1.1096666846272825,552.7046443098116,0.05527046443098116,0.08681885579289216,0.07748027213234417,5.472323210988158,121.57747385690618,91.63380278377964,6479,102,5884,
BTC-USD,1h,4.0,3.0,96,39,57,0.40625,1.218696015801919,1280.041380546607,0.12800413805466068,0.1446065615261521,0.09845068979084977,13.333764380693808,182.90009147659032,102.68530152702485,6369,97,5815,
BTC-USD,1h,4.0,2.5,100,39,61,0.39,1.1628196462900937,976.2851774389619,0.09762851774389619,0.11839121249931925,0.1099325569215753,9.76285177438956,178.77946874077165,98.29695251559244,6482,101,5778,
BTC-USD,1h,4.0,2.0,108,44,64,0.4074074074074074,1.1316557059377912,828.6810707459008,0.08286810707459008,0.1054358022640895,0.09530102382371969,7.672972877276848,161.88603024566726,98.34850406349155,6781,109,5597,
BTC-USD,1h,4.0,1.5,118,50,68,0.423728813559322,1.1040580757669352,687.8095840230108,0.06878095840230107,0.0942233919373617,0.09186421243628463,5.828894779856078,145.95344383098913,97.2038618753888,7093,119,5451,
BTC-USD,1h,3.0,2.5,126,43,83,0.3412698412698413,0.9862090411391784,-114.7944120790653,-0.011479441207906529,0.0010300524768933172,0.14577891736616339,-0.9110667625322293,190.90917868586007,100.2878204285668,7215,127,5309,
BTC-USD,1h,3.0,3.0,120,39,81,0.325,1.0249641072918907,207.96773215753274,0.020796773215753274,0.03256628664650622,0.13525498841530706,1.7330644346459252,218.93942128951656,102.84777405103253,7147,121,5318,
BTC-USD,1h,3.0,2.0,139,51,88,0.3669064748201439,1.0448693721389262,416.0810212398683,0.04160810212398683,0.05318684077409444,0.14069069620941496,2.993388642013457,189.98518549065884,105.37685725890601,7513,140,5156,
BTC-USD,1h,3.0,1.5,169,71,98,0.42011834319526625,1.0315565210768867,323.4667332005356,0.03234667332005356,0.044843670900806105,0.14027833418834676,1.914004338464764,148.92759761350305,104.59584385059357,7679,170,5046,
BTC-USD,1h,2.0,2.0,223,78,145,0.34977578475336324,1.0034350138603596,49.31318883160202,0.004931318883160202,0.01946941403880435,0.1550794375650945,0.2211353759263801,184.68398706891594,99.00715725892317,8651,224,4376,
BTC-USD,1h,2.0,1.5,273,113,160,0.4139194139194139,1.0158512731363263,251.25380519111968,0.025125380519111968,0.03577376657352506,0.16506545923566285,0.9203436087587207,142.49518321600547,99.0668868638593,8940,274,4206,
ETH-USD,1h,2.0,2.0,81,28,53,0.345679012345679,1.0388428212926604,220.45247267606464,0.022045247267606465,0.03707496377757648,0.12456880645327507,2.721635465136572,210.56976834023223,107.0849252990649,1788,81,8926,
BTC-USD,1h,6.0,1.5,95,44,51,0.4631578947368421,1.1471213599483516,634.717686982407,0.0634717686982407,0.10505528870110241,0.06344553254128446,6.6812388103411635,112.47643944646356,84.59305193454875,5623,96,6443,
BTC-USD,1h,5.0,3.0,88,37,51,0.42045454545454547,1.1619510947866558,772.8339134164544,0.07728339134164544,0.10511273894212257,0.08411251358722716,8.78220356155061,149.8609249351388,93.56902567026827,6025,89,6061,
ETH-USD,1h,2.0,3.0,63,18,45,0.2857142857142857,1.1403921526135767,698.2528321809077,0.06982528321809077,0.0866713619002143,0.10519181284795256,11.083378288585891,315.1023106568608,110.52419465872408,1794,63,8918,
ETH-USD,1h,2.0,2.5,83,24,59,0.2891566265060241,0.9994707591574917,-3.470529508573236,-0.0003470529508573236,0.010980629270228692,0.16620899324688476,-0.04181360853689853,273.0871344384855,111.1451145090206,3060,83,8214,
BTC-USD,1h,6.0,2.0,87,38,49,0.4367816091954023,1.1376609518588245,545.9800552317756,0.05459800552317756,0.09129996963421634,0.07320171633450402,6.275632818756037,118.73951353205655,80.94125426502805,5689,88,6339,
BTC-USD,1h,6.0,3.0,83,35,48,0.42168674698795183,1.0753305722487658,294.26375983661273,0.029426375983661275,0.05232541114676889,0.07377920364596488,3.5453465040556154,120.01608673841508,81.3812349168315,5406,84,6469,
BTC-USD,1h,6.0,2.5,86,37,49,0.43023255813953487,1.1072242851851442,443.7260854671349,0.04437260854671349,0.07292202735097293,0.07450845138163409,5.15960564496671,123.83849901344368,84.45506893939344,5574,87,6373,
ETH-USD,1h,3.0,2.0,148,56,92,0.3783783783783784,1.1165156654484056,1119.7128218191883,0.11197128218191883,0.11382662872656897,0.11764662643071,7.565627174453908,191.60159732802862,104.45626770163506,7611,149,5447,
ETH-USD,1h,3.0,3.0,131,44,87,0.33587786259541985,1.1838284829248318,1759.4569773908697,0.17594569773908697,0.14967632613007106,0.10022754301038521,13.430969293060059,257.5146595120419,110.01365564527556,7300,132,5568,
ETH-USD,1h,3.0,1.5,186,79,107,0.42473118279569894,1.091111946455271,1037.1556253686467,0.10371556253686467,0.10762470452937495,0.11778027195420293,5.576105512734671,157.2210969478015,106.38608442530534,7806,187,5333,
ETH-USD,1h,3.0,2.5,139,49,90,0.35251798561151076,1.21406004358037,2068.2825166354596,0.20682825166354596,0.17643178624141656,0.09997464737121757,14.879730335506878,239.3967980621408,107.35733987121601,7717,140,5389,
ETH-USD,1h,2.0,1.5,315,130,185,0.4126984126984127,1.0298286558231395,582.0514162563722,0.058205141625637224,0.05875399722399457,0.19540107590889835,1.847782273829786,154.57857065555632,105.47655550792398,9004,316,4545,
ETH-USD,1h,4.0,2.5,116,40,76,0.3448275862068966,1.0186281327893454,132.1398482501445,0.013213984825014449,0.025696766154501057,0.11576672231466642,1.1391366228459603,180.6425909835227,93.33636567224707,6248,117,6268,
ETH-USD,1h,5.0,2.0,105,43,62,0.4095238095238095,1.0778567704932638,417.34235949300455,0.04173423594930045,0.06307045225489115,0.08267949292441865,3.9746891380285874,134.3657808608546,86.45784221812495,5864,106,6584,
ETH-USD,1h,4.0,3.0,111,34,77,0.3063063063063063,0.9412153811785258,-404.0187770334578,-0.04040187770334578,-0.031520047562938455,0.1242173779332038,-3.639808802103211,190.26019693612966,89.25799315405018,6494,112,6128,
ETH-USD,1h,4.0,1.5,139,56,83,0.4028776978417266,0.996745383097978,-25.181286819975867,-0.0025181286819975866,0.00775729493512078,0.1104502024029004,-0.18116033683443078,137.71278142209593,93.2180367043055,6949,140,5913,
