symbol,w_trend,w_elliott,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.0,1.0,0.0,34,8,26,0.23529411764705882,0.6277260685349351,-1025.0592779125072,-0.10250592779125073,-0.1984843955171537,0.10250592779125073,
BTC-USD,0.0,0.9,0.1,34,8,26,0.23529411764705882,0.6277260685349351,-1025.0592779125072,-0.10250592779125073,-0.1984843955171537,0.10250592779125073,
BTC-USD,0.0,0.8,0.2,159,59,100,0.3710691823899371,1.3988390159976793,5144.788994721237,0.5144788994721237,0.3289042046915035,0.10024314520686428,
BTC-USD,0.1,0.2,0.7,63,18,45,0.2857142857142857,0.790450534525798,-1036.3362573637332,-0.10363362573637333,-0.13939135975619904,0.16766339647248513,
BTC-USD,0.0,0.7,0.3,143,55,88,0.38461538461538464,1.454693529090226,5121.511066081104,0.5121511066081105,0.3414432283888682,0.1018201580930422,
BTC-USD,0.1,0.0,0.9,64,18,46,0.28125,0.7918706956752423,-1089.3010368021114,-0.10893010368021114,-0.14642522085268625,0.20579092980859895,
BTC-USD,0.0,0.0,1.0,57,16,41,0.2807017543859649,0.781874166721566,-1003.1123702777986,-0.10031123702777986,-0.14330434161704794,0.19339089732995238,
BTC-USD,0.1,0.1,0.8,99,35,64,0.35353535353535354,1.1482745874992735,1086.4206543472628,0.10864206543472628,0.11751501917004531,0.17219506757767375,
BTC-USD,0.0,0.2,0.8,85,31,54,0.36470588235294116,1.1959089233164875,1227.4103131141346,0.12274103131141346,0.13812008560976377,0.14679372779839372,
BTC-USD,0.0,0.3,0.7,92,34,58,0.3695652173913043,1.2451294107014725,1625.5273324487498,0.162552733244875,0.16808354550383384,0.11941933531521183,
BTC-USD,0.0,0.1,0.9,91,31,60,0.34065934065934067,1.0665866354522957,456.0049455709941,0.04560049455709941,0.0611356844711649,0.19696082135229595,
BTC-USD,0.0,0.6,0.4,81,32,49,0.3950617283950617,1.4247392598504336,2496.636811588274,0.24966368115882742,0.2462098677469792,0.08384386939600741,
BTC-USD,0.0,0.5,0.5,81,32,49,0.3950617283950617,1.4247392598504336,2496.636811588274,0.24966368115882742,0.2462098677469792,0.08384386939600741,
BTC-USD,0.0,0.4,0.6,81,32,49,0.3950617283950617,1.419287205016244,2459.4202290703815,0.24594202290703815,0.2433430053102666,0.08656855243235201,
BTC-USD,0.1,0.3,0.6,77,30,47,0.38961038961038963,1.376969216005442,2102.0418976944,0.21020418976944003,0.21935654561103554,0.106427164386179,
BTC-USD,0.1,0.9,0.0,34,8,26,0.23529411764705882,0.6277260685349351,-1025.0592779125072,-0.10250592779125073,-0.1984843955171537,0.10250592779125073,
BTC-USD,0.1,0.5,0.4,128,50,78,0.390625,1.3958253972101928,3899.342937885842,0.3899342937885842,0.290943419923682,0.12242743124206698,
BTC-USD,0.1,0.6,0.3,149,57,92,0.3825503355704698,1.4512137548645936,5286.087765709031,0.5286087765709031,0.343474517189574,0.1018201580930422,
BTC-USD,0.1,0.8,0.1,159,59,100,0.3710691823899371,1.3988390159976793,5144.788994721237,0.5144788994721237,0.3289042046915035,0.10024314520686428,
BTC-USD,0.1,0.7,0.2,143,55,88,0.38461538461538464,1.4517233865461385,5076.539119368845,0.5076539119368845,0.33930750671870963,0.1018201580930422,
BTC-USD,0.2,0.0,0.8,57,16,41,0.2807017543859649,0.7685444516403915,-1022.9146270332803,-0.10229146270332803,-0.14750635775789644,0.1705673779808498,
BTC-USD,0.1,0.4,0.5,78,31,47,0.3974358974358974,1.4250002049799368,2381.724413429454,0.23817244134294543,0.24096035078460326,0.08036918916337374,
BTC-USD,0.2,0.1,0.7,58,16,42,0.27586206896551724,0.7552408761246141,-1101.8493004595239,-0.11018493004595238,-0.15947225901780868,0.1737567911724713,
BTC-USD,0.2,0.8,0.0,175,64,111,0.3657142857142857,1.361513461024145,5000.63205567642,0.500063205567642,0.31042110410534474,0.10024314520686428,
BTC-USD,0.2,0.5,0.3,152,58,94,0.3815789473684211,1.4235572109093393,5041.800105398963,0.5041800105398963,0.3301987687588292,0.1018201580930422,
BTC-USD,0.2,0.6,0.2,154,57,97,0.37012987012987014,1.3406760024344653,4152.276661911883,0.4152276661911883,0.28486728747523177,0.1018201580930422,
