symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.0,0.1,0.2,0.7,38,10,28,0.2631578947368421,0.6297546676099307,-1096.075226290619,-0.1096075226290619,-0.2174143221425224,0.1541763688102658,
BTC-USD,0.0,0.0,0.0,1.0,57,16,41,0.2807017543859649,0.7821550121170094,-1001.8857683958067,-0.10018857683958067,-0.14301752619486074,0.1932809272765195,
BTC-USD,0.0,0.0,0.1,0.9,57,16,41,0.2807017543859649,0.7839596663343376,-1003.0090249344539,-0.10030090249344539,-0.14318669852179783,0.19338163198530228,
BTC-USD,0.0,0.0,0.2,0.8,43,12,31,0.27906976744186046,0.6669771267521086,-1081.3141431173171,-0.10813141431173172,-0.19930042745785492,0.14371063604447748,
BTC-USD,0.0,0.0,0.3,0.7,29,7,22,0.2413793103448276,0.5349975385166137,-1047.3040129131787,-0.10473040129131787,-0.2525629741425044,0.1297322364130967,
BTC-USD,0.0,0.1,0.0,0.9,90,31,59,0.34444444444444444,1.0845910508525434,576.3234065994002,0.057632340659940016,0.07330383219900603,0.1968513380088868,
BTC-USD,0.0,0.1,0.1,0.8,72,25,47,0.3472222222222222,1.082071904204471,436.0664613223489,0.04360664613223489,0.06365728447895373,0.14726504404612184,
BTC-USD,0.0,0.1,0.3,0.6,25,10,15,0.4,1.2245358686895838,359.97363324320395,0.035997363324320394,0.08005673224661802,0.09361040700807206,
BTC-USD,0.0,0.0,0.5,0.5,5,3,2,0.6,3.170327676163012,458.5099233429464,0.04585099233429464,0.17742518884655833,0.012512339782356139,
BTC-USD,0.0,0.0,0.6,0.4,4,2,2,0.5,1.7671211951387447,162.06432062814383,0.016206432062814382,0.08508619955070414,0.012512339782356139,
BTC-USD,0.0,0.0,0.4,0.6,5,2,3,0.4,1.1618322448811826,51.68427987603718,0.005168427987603718,0.02807495039422141,0.023322988346916828,
BTC-USD,0.0,0.0,0.8,0.2,1,1,0,1.0,0.0,289.60562957173534,0.028960562957173534,0.17303007929335218,0.0,
BTC-USD,0.0,0.0,0.9,0.1,2,2,0,1.0,0.0,587.7926880697269,0.058779268806972686,0.24471436020142437,0.0,
BTC-USD,0.0,0.0,1.0,0.0,2,2,0,1.0,0.0,587.32929928474,0.058732929928474,0.24471358109640354,0.0,
BTC-USD,0.0,0.0,0.7,0.3,2,2,0,1.0,0.0,310.54964269867196,0.031054964269867195,0.1847370810674514,0.0,
BTC-USD,0.0,0.1,0.4,0.5,6,2,4,0.3333333333333333,0.8800279960513258,-51.01475657756964,-0.005101475657756965,-0.02069302055209262,0.021052873341268506,
BTC-USD,0.0,0.2,0.0,0.8,85,31,54,0.36470588235294116,1.1960717719718306,1228.4833895444353,0.12284833895444354,0.13816958346545857,0.14667740486200118,
BTC-USD,0.0,0.1,0.5,0.4,2,2,0,1.0,0.0,381.3176347682711,0.03813176347682711,0.21529317613613652,0.0,
BTC-USD,0.0,0.1,0.6,0.3,2,2,0,1.0,0.0,381.3176347682711,0.03813176347682711,0.21529317613613652,0.0,
BTC-USD,0.0,0.1,0.7,0.2,1,1,0,1.0,0.0,20.354534353333293,0.0020354534353333293,0.17303007929335223,0.0,
BTC-USD,0.0,0.1,0.8,0.1,2,0,2,0.0,0.0,-219.65258811163767,-0.021965258811163766,-0.2447137245034195,0.021965258811163766,
BTC-USD,0.0,0.2,0.1,0.7,75,27,48,0.36,1.1721372415868458,935.2539718788976,0.09352539718788976,0.11603373872413328,0.12038600841909612,
BTC-USD,0.0,0.1,0.9,0.0,3,0,3,0.0,0.0,-326.1957887269582,-0.03261957887269582,-0.2997244076994852,0.03261957887269582,
BTC-USD,0.0,0.2,0.2,0.6,51,19,32,0.37254901960784315,1.1883148584108267,673.9338164856363,0.06739338164856362,0.10179141857793883,0.14799199783679332,
BTC-USD,0.0,0.2,0.3,0.5,26,11,15,0.4230769230769231,1.4007185662026185,660.8486449968477,0.06608486449968477,0.13206053529364942,0.08357123054403687,
BTC-USD,0.0,0.2,0.4,0.4,5,3,2,0.6,3.047532731817504,460.6173701808293,0.04606173701808293,0.17762324078677053,0.02105287334126845,
BTC-USD,0.0,0.2,0.5,0.3,3,3,0,1.0,0.0,685.5795224449139,0.06855795224449139,0.27512379732559333,0.0,
BTC-USD,0.0,0.2,0.6,0.2,2,2,0,1.0,0.0,312.6662089923684,0.03126662089923684,0.18465577812235162,0.0,
BTC-USD,0.0,0.2,0.7,0.1,3,1,2,0.3333333333333333,1.2904431453513632,65.6576492376771,0.006565764923767711,0.03704412197467998,0.021965258811163808,
BTC-USD,0.0,0.2,0.8,0.0,4,1,3,0.25,0.8689541265801272,-43.99360721404082,-0.004399360721404082,-0.018917956178099757,0.03261957887269587,
BTC-USD,0.0,0.3,0.0,0.7,91,34,57,0.37362637362637363,1.2670336186389028,1760.5986769907213,0.17605986769907214,0.18012525225295833,0.1192992802570348,
BTC-USD,0.0,0.3,0.1,0.6,71,29,42,0.4084507042253521,1.4990095304864997,2529.914080324799,0.25299140803247994,0.2630535935221537,0.09149334215722953,
BTC-USD,0.0,0.3,0.2,0.5,52,22,30,0.4230769230769231,1.5344828313356957,1879.6857400045392,0.18796857400045391,0.23596388673446636,0.09414282846991122,
BTC-USD,0.0,0.3,0.3,0.4,30,14,16,0.4666666666666667,1.569240346958795,1008.0200219889557,0.10080200219889557,0.18305184687959752,0.035971776826744094,
BTC-USD,0.0,0.4,0.0,0.6,80,32,48,0.4,1.4475521379331076,2604.1801693663074,0.26041801693663075,0.25580526348349414,0.08656855243235227,
BTC-USD,0.0,0.3,0.4,0.3,9,4,5,0.4444444444444444,1.7503625122061528,418.8551494791118,0.04188551494791118,0.13000028496619281,0.021052873341268485,
BTC-USD,0.0,0.3,0.5,0.2,8,4,4,0.5,2.1739143448271085,531.0934541621336,0.053109345416213365,0.16546046041069307,0.021052873341268524,
BTC-USD,0.0,0.4,0.1,0.5,76,31,45,0.40789473684210525,1.4907894756718205,2661.1748349505942,0.2661174834950594,0.26566309515469405,0.08024381015503934,
BTC-USD,0.0,0.3,0.6,0.1,7,4,3,0.5714285714285714,2.65531234805331,570.4213811590071,0.057042138115900705,0.18205837338171688,0.021965258811163988,
BTC-USD,0.0,0.3,0.7,0.0,10,7,3,0.7,3.4271619141902976,891.3796211180979,0.0891379621118098,0.25998071496504327,0.03261957887269592,
BTC-USD,0.0,0.4,0.2,0.4,61,27,34,0.4426229508196721,1.746761989440673,2936.770472593089,0.2936770472593089,0.3147755105168503,0.08300701467145122,
BTC-USD,0.0,0.4,0.3,0.3,35,15,20,0.42857142857142855,1.5531976937047836,1279.727082170839,0.1279727082170839,0.19973121441323652,0.06566605789180081,
BTC-USD,0.0,0.4,0.6,0.0,33,11,22,0.3333333333333333,0.9448226417551747,-133.7768110050256,-0.01337768110050256,-0.01689276438584327,0.07297561842871277,
BTC-USD,0.0,0.4,0.5,0.1,17,10,7,0.5882352941176471,2.2897377221679163,1069.31814617302,0.106931814617302,0.24399378685499223,0.032619578872695926,
BTC-USD,0.0,0.4,0.4,0.2,10,6,4,0.6,3.5680679702485047,1155.053279213951,0.1155053279213951,0.2799809619424504,0.021052873341268437,
BTC-USD,0.0,0.5,0.0,0.5,80,32,48,0.4,1.453051426873687,2641.8291532451312,0.2641829153245131,0.25866308985911624,0.08384386939600758,
BTC-USD,0.0,0.5,0.1,0.4,79,32,47,0.4050632911392405,1.4819406690760384,2740.4098698267135,0.2740409869826714,0.26752999564658614,0.0865839196494885,
BTC-USD,0.0,0.5,0.2,0.3,68,31,37,0.45588235294117646,1.882010832140435,3936.079966146388,0.3936079966146388,0.37427487122602593,0.07206912599133032,
BTC-USD,0.0,0.6,0.1,0.3,65,21,44,0.3230769230769231,1.0091772532657572,47.72827424876232,0.004772827424876232,0.017765755404966704,0.10928730515446472,
