symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.0,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.2,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.3,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.4,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.8,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.2,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.5,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.9,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.1,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.6,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.3,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.1,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.0,0.7,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.4,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.6,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.5,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.1,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.8,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.7,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.1,0.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.5,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.7,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.2,0.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.7,0.0,64,24,40,0.375,1.467676693476618,2242.6320609087725,0.22426320609087724,0.2418447041146512,0.07838195063614162,
BTC-USD,0.0,0.4,0.6,0.0,63,24,39,0.38095238095238093,1.504912484863664,2371.55281003605,0.23715528100360497,0.2543502665640211,0.07838195063614166,
BTC-USD,0.0,0.4,0.5,0.1,64,24,40,0.375,1.467676693476618,2242.6320609087725,0.22426320609087724,0.2418447041146512,0.07838195063614162,
BTC-USD,0.0,0.3,0.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.1,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.2,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.4,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.3,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.5,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.1,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.3,0.6,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.4,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.7,0.3,0.0,117,46,71,0.39316239316239315,1.548089889100843,5058.753784193717,0.5058753784193717,0.36065149384677475,0.09674137825824775,
BTC-USD,0.0,0.7,0.2,0.1,130,50,80,0.38461538461538464,1.4870112768167993,5061.870922182994,0.5061870922182994,0.34823340340954934,0.09674137825824787,
BTC-USD,0.0,0.7,0.0,0.3,140,52,88,0.37142857142857144,1.376697412768032,4289.522553089242,0.4289522553089242,0.3000791214253935,0.07838195063614138,
BTC-USD,0.0,0.7,0.1,0.2,140,52,88,0.37142857142857144,1.376697412768032,4289.522553089242,0.4289522553089242,0.3000791214253935,0.07838195063614138,
BTC-USD,0.0,0.8,0.0,0.2,177,65,112,0.3672316384180791,1.370810363039022,5254.239173803844,0.5254239173803844,0.3201362773744028,0.10024314520686424,
BTC-USD,0.0,0.5,0.5,0.0,82,32,50,0.3902439024390244,1.481838740886964,3069.5310420162477,0.30695310420162475,0.28348533680925364,0.07675524740610593,
BTC-USD,0.0,0.6,0.4,0.0,85,33,52,0.38823529411764707,1.4689262358531314,3178.7134501812834,0.31787134501812836,0.2867825353926631,0.08762469031995489,
BTC-USD,0.0,0.8,0.1,0.1,175,64,111,0.3657142857142857,1.3542885316857511,5057.242496602845,0.5057242496602845,0.31291512226994506,0.10024314520686424,
BTC-USD,0.0,0.6,0.3,0.1,82,32,50,0.3902439024390244,1.5160222403923422,3334.8555007491977,0.33348555007491976,0.30017342078007897,0.07675524740610622,
BTC-USD,0.0,0.5,0.4,0.1,63,24,39,0.38095238095238093,1.504912484863664,2371.55281003605,0.23715528100360497,0.2543502665640211,0.07838195063614166,
BTC-USD,0.0,0.5,0.3,0.2,64,24,40,0.375,1.467676693476618,2242.6320609087725,0.22426320609087724,0.2418447041146512,0.07838195063614162,
BTC-USD,0.0,0.6,0.2,0.2,63,24,39,0.38095238095238093,1.504912484863664,2371.55281003605,0.23715528100360497,0.2543502665640211,0.07838195063614166,
BTC-USD,0.0,0.6,0.1,0.3,64,24,40,0.375,1.467676693476618,2242.6320609087725,0.22426320609087724,0.2418447041146512,0.07838195063614162,
BTC-USD,0.0,0.5,0.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.5,0.1,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.5,0.2,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.9,0.0,0.1,162,60,102,0.37037037037037035,1.398999670513327,5239.135205052633,0.5239135205052633,0.330512072215757,0.10024314520686424,
BTC-USD,0.0,0.8,0.2,0.0,164,60,104,0.36585365853658536,1.3879817291243812,5112.816554174879,0.5112816554174878,0.3222053937600381,0.10024314520686424,
BTC-USD,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.9,0.1,0.0,162,60,102,0.37037037037037035,1.398999670513327,5239.135205052633,0.5239135205052633,0.330512072215757,0.10024314520686424,
BTC-USD,0.0,1.0,0.0,0.0,162,60,102,0.37037037037037035,1.3970646088354493,5206.751001174342,0.5206751001174341,0.3293315304347862,0.10024314520686424,
BTC-USD,0.1,0.0,0.0,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.2,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.1,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.4,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.3,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.6,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.5,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.7,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.8,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.1,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
